Messart,Versuchsnummer,Dauer,Sampling-Frequenz,Trigger-Art,Auto-Zero vor Messung,Movement Time Links(s),Movement Time Rechts(s)
Athlet_1,2,4.0,1000,Akustischer Reiz,Ja,1.301,1.281
Time,L_Fx,L_Fy,L_Fz,L_Mx,L_My,L_Mz,R_Fx,R_Fy,R_Fz,R_Mx,R_My,R_Mz
0.0010,-0.14,0.03,-0.81,0.02,-0.12,-0.16,0.03,0.22,0.32,-0.23,0.05,0.08
0.0020,-0.10,-0.00,-0.52,0.01,-0.05,-0.10,0.03,0.12,0.19,-0.14,0.03,0.05
0.0030,-0.08,-0.03,-0.25,-0.00,0.01,-0.05,0.03,0.04,0.07,-0.05,0.01,0.02
0.0040,-0.06,-0.05,-0.02,0.00,0.06,-0.01,0.01,-0.03,-0.02,0.01,-0.00,-0.00
0.0050,-0.04,-0.05,0.14,0.01,0.07,0.03,-0.01,-0.06,-0.08,0.05,-0.02,-0.01
0.0060,-0.02,-0.04,0.24,0.02,0.07,0.05,-0.04,-0.08,-0.11,0.07,-0.02,-0.02
0.0070,0.01,-0.02,0.29,0.03,0.05,0.06,-0.07,-0.07,-0.12,0.07,-0.02,-0.02
0.0080,0.05,-0.02,0.30,0.04,0.03,0.07,-0.11,-0.05,-0.11,0.07,-0.02,-0.02
0.0090,0.11,-0.03,0.28,0.04,0.01,0.08,-0.14,-0.04,-0.09,0.06,-0.02,-0.02
0.0100,0.17,-0.05,0.25,0.03,0.00,0.10,-0.17,-0.02,-0.06,0.06,-0.01,-0.02
0.0110,0.23,-0.09,0.22,0.02,0.02,0.11,-0.18,-0.01,-0.00,0.06,-0.01,-0.03
0.0120,0.27,-0.14,0.19,0.01,0.04,0.12,-0.17,-0.01,0.07,0.07,0.00,-0.04
0.0130,0.30,-0.19,0.19,0.01,0.07,0.13,-0.15,-0.01,0.15,0.08,0.01,-0.05
0.0140,0.31,-0.23,0.19,0.02,0.09,0.12,-0.11,-0.02,0.24,0.09,0.02,-0.05
0.0150,0.29,-0.26,0.21,0.04,0.09,0.10,-0.07,-0.03,0.30,0.10,0.02,-0.06
0.0160,0.25,-0.27,0.24,0.06,0.06,0.06,-0.03,-0.06,0.31,0.11,0.02,-0.05
0.0170,0.18,-0.28,0.26,0.08,0.01,0.01,-0.00,-0.09,0.27,0.11,0.02,-0.04
0.0180,0.11,-0.28,0.24,0.09,-0.06,-0.05,0.01,-0.13,0.18,0.11,0.01,-0.03
0.0190,0.03,-0.27,0.19,0.10,-0.13,-0.10,0.01,-0.17,0.06,0.11,-0.00,-0.01
0.0200,-0.04,-0.26,0.09,0.10,-0.19,-0.14,-0.01,-0.20,-0.06,0.10,-0.01,-0.00
0.0210,-0.10,-0.24,-0.04,0.09,-0.22,-0.16,-0.03,-0.23,-0.15,0.09,-0.01,0.00
0.0220,-0.14,-0.21,-0.18,0.07,-0.21,-0.16,-0.05,-0.25,-0.18,0.08,-0.01,0.01
0.0230,-0.17,-0.18,-0.29,0.06,-0.19,-0.13,-0.07,-0.28,-0.14,0.07,-0.01,0.01
0.0240,-0.17,-0.15,-0.35,0.06,-0.14,-0.10,-0.09,-0.29,-0.05,0.06,-0.00,0.01
0.0250,-0.15,-0.12,-0.33,0.07,-0.09,-0.06,-0.10,-0.31,0.08,0.06,0.00,0.00
0.0260,-0.14,-0.10,-0.24,0.08,-0.05,-0.03,-0.11,-0.32,0.23,0.06,0.01,-0.00
