Messart,Versuchsnummer,Dauer,Sampling-Frequenz,Trigger-Art,Auto-Zero vor Messung,Movement Time Links(s),Movement Time Rechts(s)
Athlet_2,1,4.0,1000,Akustischer Reiz,Nein,0.001,0.001
Time,L_Fx,L_Fy,L_Fz,L_Mx,L_My,L_Mz,R_Fx,R_Fy,R_Fz,R_Mx,R_My,R_Mz
0.0010,6.48,-0.83,51.52,0.62,-0.71,0.08,-2.57,-2.26,60.54,1.26,1.96,0.16
0.0020,6.54,-0.93,51.33,0.61,-0.73,0.08,-2.51,-2.24,60.35,1.23,1.93,0.18
0.0030,6.60,-1.02,51.16,0.59,-0.76,0.08,-2.46,-2.24,60.19,1.21,1.90,0.20
0.0040,6.65,-1.09,51.02,0.59,-0.79,0.07,-2.42,-2.25,60.04,1.19,1.88,0.22
0.0050,6.69,-1.15,50.92,0.59,-0.81,0.07,-2.38,-2.29,59.93,1.19,1.87,0.23
0.0060,6.72,-1.19,50.87,0.62,-0.83,0.06,-2.36,-2.34,59.85,1.19,1.86,0.24
0.0070,6.74,-1.20,50.88,0.65,-0.84,0.06,-2.35,-2.41,59.81,1.20,1.86,0.24
0.0080,6.77,-1.19,50.94,0.69,-0.83,0.06,-2.35,-2.49,59.79,1.21,1.85,0.23
0.0090,6.80,-1.16,51.04,0.74,-0.81,0.07,-2.36,-2.55,59.80,1.23,1.85,0.23
0.0100,6.84,-1.13,51.15,0.78,-0.79,0.09,-2.37,-2.61,59.83,1.25,1.84,0.22
0.0110,6.88,-1.11,51.25,0.80,-0.78,0.10,-2.38,-2.64,59.88,1.26,1.84,0.20
0.0120,6.89,-1.09,51.33,0.80,-0.78,0.12,-2.40,-2.65,59.94,1.27,1.84,0.20
0.0130,6.88,-1.08,51.37,0.78,-0.79,0.12,-2.42,-2.63,60.00,1.28,1.84,0.19
0.0140,6.84,-1.09,51.37,0.73,-0.82,0.11,-2.43,-2.60,60.06,1.28,1.85,0.18
0.0150,6.77,-1.11,51.35,0.67,-0.84,0.10,-2.43,-2.57,60.11,1.27,1.87,0.18
0.0160,6.69,-1.15,51.31,0.61,-0.86,0.08,-2.42,-2.53,60.15,1.25,1.90,0.17
0.0170,6.60,-1.18,51.28,0.56,-0.85,0.07,-2.39,-2.50,60.17,1.24,1.93,0.16
0.0180,6.52,-1.21,51.27,0.53,-0.82,0.06,-2.35,-2.47,60.18,1.22,1.96,0.16
0.0190,6.47,-1.23,51.28,0.53,-0.76,0.07,-2.31,-2.44,60.18,1.22,1.99,0.15
0.0200,6.44,-1.21,51.33,0.56,-0.69,0.09,-2.29,-2.42,60.17,1.22,2.01,0.14
0.0210,6.45,-1.17,51.41,0.62,-0.62,0.12,-2.28,-2.40,60.16,1.22,2.02,0.14
0.0220,6.49,-1.11,51.50,0.69,-0.57,0.15,-2.30,-2.38,60.16,1.23,2.02,0.13
0.0230,6.55,-1.02,51.60,0.75,-0.54,0.17,-2.33,-2.37,60.18,1.24,2.01,0.13
0.0240,6.62,-0.94,51.68,0.79,-0.55,0.17,-2.38,-2.37,60.22,1.24,1.99,0.14
0.0250,6.71,-0.87,51.72,0.80,-0.59,0.16,-2.42,-2.36,60.29,1.24,1.97,0.14
0.0260,6.79,-0.83,51.71,0.79,-0.66,0.13,-2.45,-2.36,60.38,1.24,1.96,0.14
0.0270,6.86,-0.84,51.64,0.75,-0.75,0.09,-2.45,-2.35,60.48,1.24,1.95,0.14
0.0280,6.91,-0.87,51.54,0.69,-0.83,0.05,-2.43,-2.35,60.56,1.23,1.95,0.14
0.0290,6.93,-0.94,51.41,0.64,-0.90,0.01,-2.38,-2.35,60.61,1.22,1.95,0.14
0.0300,6.94,-1.00,51.29,0.60,-0.95,-0.01,-2.32,-2.35,60.63,1.21,1.95,0.14
0.0310,6.92,-1.06,51.21,0.57,-0.96,-0.02,-2.26,-2.37,60.62,1.19,1.94,0.14
0.0320,6.87,-1.10,51.18,0.57,-0.94,-0.00,-2.21,-2.39,60.57,1.19,1.94,0.15
0.0330,6.82,-1.11,51.20,0.59,-0.90,0.02,-2.17,-2.42,60.50,1.18,1.94,0.15
0.0340,6.76,-1.10,51.27,0.63,-0.85,0.04,-2.15,-2.46,60.41,1.18,1.93,0.16
0.0350,6.71,-1.07,51.36,0.67,-0.80,0.06,-2.14,-2.48,60.34,1.18,1.93,0.16
0.0360,6.67,-1.05,51.46,0.72,-0.76,0.07,-2.15,-2.50,60.28,1.18,1.93,0.17
0.0370,6.66,-1.02,51.53,0.77,-0.73,0.07,-2.17,-2.50,60.26,1.18,1.94,0.18
0.0380,6.68,-1.00,51.58,0.80,-0.71,0.06,-2.19,-2.49,60.28,1.18,1.94,0.19
0.0390,6.72,-0.99,51.60,0.82,-0.70,0.05,-2.22,-2.46,60.33,1.18,1.94,0.19
0.0400,6.77,-0.97,51.60,0.82,-0.69,0.04,-2.25,-2.43,60.42,1.18,1.95,0.20
0.0410,6.82,-0.95,51.57,0.81,-0.69,0.03,-2.28,-2.40,60.50,1.18,1.94,0.20
0.0420,6.86,-0.93,51.53,0.79,-0.69,0.03,-2.30,-2.38,60.57,1.17,1.94,0.19
0.0430,6.87,-0.91,51.49,0.76,-0.69,0.05,-2.31,-2.37,60.60,1.17,1.94,0.18
0.0440,6.85,-0.89,51.45,0.72,-0.69,0.07,-2.32,-2.38,60.57,1.18,1.93,0.17
0.0450,6.81,-0.90,51.42,0.69,-0.69,0.10,-2.31,-2.41,60.50,1.18,1.93,0.16
0.0460,6.75,-0.92,51.40,0.67,-0.69,0.13,-2.30,-2.45,60.40,1.19,1.93,0.15
0.0470,6.69,-0.96,51.40,0.65,-0.69,0.16,-2.29,-2.49,60.27,1.20,1.92,0.14
0.0480,6.63,-1.02,51.41,0.65,-0.70,0.18,-2.29,-2.52,60.16,1.21,1.92,0.13
0.0490,6.58,-1.08,51.42,0.65,-0.71,0.19,-2.30,-2.54,60.07,1.22,1.92,0.13
0.0500,6.55,-1.13,51.43,0.66,-0.72,0.19,-2.33,-2.54,60.01,1.23,1.91,0.13
0.0510,6.54,-1.15,51.44,0.68,-0.72,0.17,-2.36,-2.52,60.00,1.24,1.91,0.13
0.0520,6.56,-1.16,51.45,0.70,-0.72,0.13,-2.40,-2.50,60.01,1.24,1.91,0.14
0.0530,6.58,-1.14,51.47,0.71,-0.70,0.10,-2.43,-2.47,60.04,1.24,1.92,0.15
0.0540,6.60,-1.12,51.49,0.71,-0.68,0.07,-2.46,-2.44,60.09,1.25,1.92,0.17
0.0550,6.63,-1.10,51.52,0.71,-0.65,0.04,-2.47,-2.42,60.14,1.25,1.92,0.18
0.0560,6.64,-1.08,51.53,0.70,-0.62,0.03,-2.47,-2.40,60.21,1.25,1.92,0.20
0.0570,6.66,-1.08,51.54,0.68,-0.58,0.04,-2.47,-2.38,60.30,1.26,1.92,0.20
0.0580,6.66,-1.08,51.53,0.67,-0.55,0.06,-2.46,-2.38,60.40,1.27,1.92,0.20
0.0590,6.67,-1.10,51.51,0.66,-0.52,0.09,-2.46,-2.38,60.51,1.27,1.92,0.19
0.0600,6.66,-1.13,51.50,0.65,-0.51,0.12,-2.46,-2.38,60.61,1.27,1.92,0.18
0.0610,6.65,-1.17,51.51,0.66,-0.51,0.15,-2.46,-2.39,60.69,1.27,1.92,0.16
0.0620,6.63,-1.21,51.54,0.67,-0.52,0.16,-2.45,-2.40,60.73,1.26,1.92,0.15
0.0630,6.60,-1.25,51.58,0.68,-0.55,0.16,-2.44,-2.41,60.72,1.25,1.92,0.13
0.0640,6.57,-1.28,51.63,0.69,-0.59,0.15,-2.44,-2.42,60.67,1.23,1.92,0.12
0.0650,6.54,-1.29,51.68,0.70,-0.64,0.12,-2.44,-2.42,60.59,1.21,1.91,0.12
0.0660,6.52,-1.29,51.72,0.72,-0.69,0.08,-2.44,-2.41,60.49,1.19,1.90,0.12
0.0670,6.53,-1.26,51.76,0.74,-0.73,0.05,-2.45,-2.39,60.40,1.17,1.89,0.13
0.0680,6.55,-1.22,51.79,0.78,-0.75,0.02,-2.46,-2.36,60.32,1.15,1.88,0.14
0.0690,6.59,-1.16,51.82,0.81,-0.75,0.01,-2.46,-2.33,60.27,1.15,1.88,0.16
0.0700,6.63,-1.10,51.83,0.84,-0.73,0.02,-2.46,-2.30,60.23,1.15,1.88,0.18
0.0710,6.65,-1.04,51.83,0.86,-0.70,0.05,-2.45,-2.28,60.22,1.16,1.89,0.19
0.0720,6.65,-1.01,51.82,0.85,-0.66,0.09,-2.44,-2.26,60.23,1.17,1.90,0.20
0.0730,6.63,-0.99,51.79,0.83,-0.62,0.13,-2.42,-2.25,60.27,1.19,1.91,0.19
0.0740,6.60,-0.99,51.75,0.80,-0.60,0.17,-2.41,-2.25,60.31,1.20,1.92,0.18
0.0750,6.56,-1.00,51.69,0.76,-0.60,0.20,-2.41,-2.25,60.35,1.21,1.92,0.17
0.0760,6.54,-1.01,51.64,0.73,-0.61,0.21,-2.41,-2.26,60.36,1.21,1.91,0.15
0.0770,6.53,-1.01,51.60,0.71,-0.63,0.20,-2.42,-2.27,60.33,1.21,1.90,0.13
0.0780,6.55,-1.00,51.57,0.71,-0.65,0.18,-2.42,-2.28,60.28,1.20,1.89,0.11
0.0790,6.58,-0.98,51.55,0.72,-0.68,0.15,-2.42,-2.29,60.22,1.19,1.88,0.10
0.0800,6.63,-0.96,51.54,0.73,-0.71,0.12,-2.42,-2.31,60.17,1.19,1.88,0.09
0.0810,6.67,-0.94,51.54,0.73,-0.74,0.09,-2.41,-2.33,60.15,1.19,1.88,0.08
0.0820,6.71,-0.94,51.53,0.73,-0.77,0.07,-2.41,-2.36,60.14,1.20,1.88,0.08
0.0830,6.73,-0.96,51.51,0.72,-0.80,0.05,-2.42,-2.38,60.16,1.21,1.89,0.09
0.0840,6.73,-0.98,51.48,0.70,-0.82,0.05,-2.44,-2.39,60.19,1.22,1.91,0.09
0.0850,6.71,-1.01,51.44,0.68,-0.84,0.04,-2.46,-2.40,60.21,1.22,1.92,0.10
0.0860,6.69,-1.04,51.41,0.67,-0.85,0.04,-2.48,-2.41,60.22,1.22,1.93,0.12
0.0870,6.67,-1.07,51.38,0.67,-0.85,0.04,-2.50,-2.41,60.21,1.21,1.93,0.13
0.0880,6.64,-1.09,51.36,0.68,-0.85,0.03,-2.51,-2.41,60.19,1.20,1.92,0.15
0.0890,6.63,-1.11,51.36,0.70,-0.83,0.02,-2.51,-2.41,60.16,1.19,1.92,0.16
0.0900,6.61,-1.13,51.37,0.72,-0.82,-0.00,-2.50,-2.43,60.12,1.18,1.91,0.18
0.0910,6.60,-1.15,51.38,0.75,-0.80,-0.02,-2.49,-2.44,60.10,1.18,1.91,0.19
0.0920,6.58,-1.16,51.39,0.76,-0.78,-0.05,-2.47,-2.45,60.08,1.18,1.91,0.20
0.0930,6.55,-1.17,51.40,0.77,-0.75,-0.07,-2.45,-2.46,60.09,1.19,1.92,0.20
0.0940,6.52,-1.16,51.42,0.78,-0.72,-0.08,-2.42,-2.45,60.10,1.20,1.93,0.20
0.0950,6.49,-1.15,51.43,0.77,-0.69,-0.08,-2.39,-2.44,60.12,1.21,1.95,0.19
0.0960,6.46,-1.13,51.43,0.75,-0.66,-0.08,-2.35,-2.41,60.14,1.22,1.97,0.17
0.0970,6.45,-1.11,51.41,0.72,-0.65,-0.05,-2.31,-2.38,60.14,1.23,1.99,0.14
0.0980,6.45,-1.09,51.35,0.69,-0.65,-0.02,-2.27,-2.34,60.14,1.25,2.00,0.12
0.0990,6.47,-1.08,51.28,0.65,-0.67,0.01,-2.24,-2.30,60.12,1.26,2.01,0.11
0.1000,6.51,-1.08,51.19,0.61,-0.71,0.05,-2.22,-2.26,60.08,1.26,2.02,0.10
0.1010,6.55,-1.08,51.11,0.57,-0.74,0.08,-2.21,-2.23,60.03,1.27,2.02,0.10
0.1020,6.60,-1.08,51.06,0.55,-0.78,0.10,-2.21,-2.22,59.99,1.26,2.02,0.10
0.1030,6.63,-1.07,51.05,0.54,-0.80,0.12,-2.23,-2.22,59.95,1.25,2.01,0.12
0.1040,6.65,-1.06,51.09,0.55,-0.80,0.12,-2.27,-2.24,59.94,1.24,2.00,0.13
0.1050,6.66,-1.05,51.17,0.58,-0.78,0.13,-2.32,-2.28,59.95,1.22,1.98,0.14
0.1060,6.66,-1.05,51.27,0.62,-0.75,0.13,-2.39,-2.33,59.99,1.21,1.96,0.15
0.1070,6.67,-1.06,51.38,0.67,-0.71,0.13,-2.46,-2.39,60.04,1.19,1.94,0.16
0.1080,6.68,-1.07,51.46,0.71,-0.66,0.14,-2.53,-2.43,60.10,1.18,1.93,0.17
0.1090,6.69,-1.07,51.50,0.74,-0.63,0.15,-2.58,-2.47,60.15,1.18,1.91,0.17
0.1100,6.71,-1.07,51.48,0.74,-0.61,0.15,-2.60,-2.48,60.18,1.18,1.90,0.17
0.1110,6.73,-1.05,51.41,0.73,-0.61,0.15,-2.59,-2.47,60.20,1.19,1.90,0.18
0.1120,6.74,-1.01,51.30,0.69,-0.63,0.15,-2.54,-2.46,60.19,1.20,1.90,0.18
