Time,L_Fx,L_Fy,L_Fz,L_Mx,L_My,L_Mz,R_Fx,R_Fy,R_Fz,R_Mx,R_My,R_Mz
0.0010,1.66,1.97,4.87,0.12,0.08,-0.08,-0.39,1.01,1.40,0.35,-0.05,0.18
0.0020,1.81,2.28,5.18,0.12,0.14,-0.10,-0.54,1.32,1.40,0.44,-0.02,0.15
0.0030,1.81,1.66,4.87,0.12,0.08,-0.05,0.55,0.86,1.09,0.49,0.05,0.13
0.0040,1.66,2.43,5.18,0.26,0.39,-0.08,0.55,0.86,1.72,0.40,0.02,0.18
0.0050,1.81,2.12,6.11,0.36,0.21,-0.01,-0.70,1.01,2.03,0.35,-0.05,0.15
0.0060,1.66,1.97,6.73,0.50,0.42,0.16,-0.23,0.86,0.78,0.44,0.08,0.15
0.0070,1.81,2.43,5.18,0.12,0.27,-0.01,-0.70,1.17,1.72,0.44,0.08,0.18
0.0080,2.28,2.12,6.73,0.22,0.49,0.18,-0.08,0.55,0.78,0.44,0.05,0.22
0.0090,1.81,1.97,6.11,0.12,0.33,-0.01,-0.08,0.55,1.40,0.40,-0.02,0.18
0.0100,1.81,1.66,5.80,0.36,0.58,0.20,-0.08,0.70,1.09,0.30,-0.08,0.25
0.0110,1.19,1.81,6.11,0.40,0.46,0.20,0.24,1.17,1.40,0.35,0.08,0.22
0.0120,1.81,2.28,4.87,0.31,0.24,0.02,-0.39,0.86,1.09,0.30,-0.05,0.22
0.0130,1.81,2.28,5.49,0.08,0.11,-0.03,0.08,1.01,0.78,0.40,0.08,0.18
0.0140,2.12,2.28,4.56,0.17,0.21,-0.05,0.08,0.86,1.72,0.44,0.08,0.15
0.0150,1.81,2.28,5.80,0.03,0.24,-0.10,0.08,1.01,1.72,0.40,0.05,0.25
0.0160,1.97,2.43,5.49,0.26,0.36,-0.03,-0.39,1.01,1.72,0.30,0.05,0.15
0.0170,2.28,1.97,7.05,0.40,0.55,0.20,-0.08,0.70,1.72,0.40,0.08,0.15
