Messart,Versuchsnummer,Dauer,Sampling-Frequenz,Audio-Reiz,Trigger-Art
Athlet_3,1,1.75,1000,Visueller Reiz
Time,L_Fx,L_Fy,L_Fz,L_Mx,L_My,L_Mz,R_Fx,R_Fy,R_Fz,R_Mx,R_My,R_Mz
0.0010,-239.26,-306.57,-876.23,-149.03,-66.77,-49.96,112.83,93.84,170.25,40.37,-2.96,8.55
0.0020,-226.31,-273.13,-652.23,-153.52,-74.71,-47.05,223.27,220.27,533.90,106.69,56.39,58.89
0.0030,-209.32,-237.95,-440.07,-154.56,-80.09,-43.31,323.44,332.46,851.79,165.21,108.34,102.62
0.0040,-185.34,-199.88,-249.74,-149.67,-81.07,-38.17,404.05,418.36,1086.76,209.07,146.66,134.28
0.0050,-153.73,-159.21,-88.81,-138.26,-77.06,-31.60,457.59,469.59,1216.34,233.17,167.33,150.46
0.0060,-116.38,-117.74,38.08,-121.75,-68.93,-24.18,479.02,482.13,1234.52,234.68,168.76,150.09
0.0070,-77.12,-78.45,129.22,-103.15,-58.68,-17.00,466.12,456.16,1149.77,213.10,151.69,134.22
0.0080,-40.69,-44.74,185.49,-86.14,-48.83,-11.35,419.54,395.35,980.96,170.23,118.74,105.53
0.0090,-11.64,-19.68,209.83,-74.19,-41.82,-8.43,342.87,306.21,753.11,109.88,73.84,67.74
0.0100,6.55,-5.47,206.49,-69.76,-39.47,-9.07,242.50,197.50,494.06,37.69,21.82,25.20
0.0110,11.92,-3.13,180.24,-73.92,-42.66,-13.57,127.40,79.67,232.06,-39.35,-31.94,-17.53
0.0120,4.14,-12.46,135.98,-86.31,-51.27,-21.69,8.57,-35.80,-6.15,-113.44,-81.98,-56.03
0.0130,-15.65,-32.15,78.61,-105.38,-64.35,-32.64,-101.98,-137.46,-197.45,-176.83,-123.25,-86.43
0.0140,-45.02,-59.93,13.37,-128.72,-80.28,-45.27,-192.71,-215.21,-324.41,-222.91,-151.69,-105.81
0.0150,-80.56,-92.72,-53.87,-153.45,-97.11,-58.17,-254.10,-261.47,-376.78,-247.04,-164.68,-112.52
0.0160,-118.17,-126.85,-116.60,-176.59,-112.78,-69.87,-279.80,-271.93,-351.73,-247.05,-161.27,-106.26
0.0170,-153.48,-158.46,-168.19,-195.51,-125.48,-79.05,-267.22,-245.76,-253.15,-223.28,-142.07,-87.91
0.0180,-182.25,-183.84,-202.70,-208.18,-133.81,-84.72,-217.53,-185.33,-90.36,-178.26,-109.08,-59.35
0.0190,-200.87,-199.87,-215.64,-213.47,-137.03,-86.36,-135.19,-95.90,122.71,-116.25,-65.34,-23.21
0.0200,-206.77,-204.36,-204.56,-211.16,-135.04,-83.97,-27.59,14.75,368.07,-42.91,-14.79,17.29
0.0210,-198.81,-196.27,-169.17,-201.79,-128.27,-77.98,95.49,136.66,624.09,35.00,37.94,58.45
0.0220,-177.36,-175.85,-111.38,-186.49,-117.56,-69.11,222.42,258.31,866.77,110.14,87.87,96.36
0.0230,-144.36,-144.65,-35.32,-166.69,-103.96,-58.22,340.71,367.68,1072.09,175.16,130.10,127.27
0.0240,-103.04,-105.46,52.72,-144.04,-88.65,-46.26,438.33,453.66,1219.16,223.61,160.43,148.10
0.0250,-57.60,-62.07,144.61,-120.35,-72.85,-34.22,505.25,507.52,1293.02,250.75,175.89,156.82
0.0260,-12.72,-18.87,231.13,-97.56,-57.87,-23.08,534.76,523.89,1286.50,254.09,175.10,152.71
0.0270,27.10,19.72,303.24,-77.62,-44.97,-13.80,524.11,501.31,1200.56,233.54,158.33,136.34
0.0280,58.12,49.91,353.48,-62.39,-35.32,-7.20,474.65,442.14,1043.67,191.32,127.32,109.40
0.0290,77.78,69.00,377.15,-53.33,-29.81,-3.92,391.47,352.21,830.88,131.60,85.13,74.53
0.0300,84.94,75.70,372.86,-51.37,-29.00,-4.28,282.83,240.35,582.75,60.18,35.86,35.10
0.0310,79.69,70.04,342.27,-56.72,-33.00,-8.29,159.57,117.74,324.01,-15.93,-15.63,-4.99
0.0320,63.12,53.17,289.54,-68.86,-41.44,-15.59,34.22,-3.05,81.38,-89.05,-64.14,-41.70
0.0330,37.03,27.08,220.54,-86.54,-53.50,-25.47,-80.18,-109.37,-119.50,-151.70,-104.66,-71.22
0.0340,3.76,-5.66,142.32,-107.90,-67.93,-36.91,-171.57,-190.07,-257.47,-197.50,-133.09,-90.59
0.0350,-33.76,-42.00,62.62,-130.62,-83.18,-48.67,-230.40,-236.89,-318.65,-222.00,-146.70,-97.99
0.0360,-72.16,-78.53,-10.69,-152.17,-97.53,-59.42,-250.86,-245.32,-297.64,-223.14,-144.42,-92.94
0.0370,-107.74,-111.78,-70.34,-170.13,-109.35,-67.93,-231.28,-214.82,-197.24,-201.19,-126.75,-76.17
0.0380,-136.95,-138.50,-110.54,-182.53,-117.30,-73.21,-174.10,-148.57,-27.30,-158.43,-95.50,-49.37
0.0390,-156.74,-156.06,-127.57,-188.06,-120.53,-74.70,-85.23,-52.94,196.49,-98.78,-53.52,-14.96
0.0400,-165.06,-162.74,-120.11,-186.21,-118.75,-72.26,26.65,63.02,453.58,-27.46,-4.51,24.06
0.0410,-161.01,-157.84,-89.01,-177.22,-112.16,-66.15,150.84,188.24,719.63,49.16,47.15,64.20
0.0420,-144.83,-141.68,-36.99,-161.97,-101.40,-56.96,275.42,310.45,968.35,123.96,96.64,101.72
0.0430,-117.80,-115.51,31.66,-141.83,-87.45,-45.51,388.31,417.44,1174.36,189.62,139.10,132.93
0.0440,-82.13,-81.45,111.25,-118.58,-71.54,-32.83,478.51,498.53,1316.55,239.53,170.28,154.67
0.0450,-40.80,-42.37,194.90,-94.32,-55.12,-20.09,537.39,545.88,1380.98,268.63,187.04,164.77
0.0460,2.50,-1.76,274.91,-71.35,-39.73,-8.52,559.66,555.36,1362.34,274.07,187.76,162.25
0.0470,43.63,36.52,343.53,-51.89,-26.91,0.74,543.75,526.71,1263.94,255.43,172.47,147.41
0.0480,78.44,68.68,393.92,-37.88,-17.92,6.75,491.70,463.30,1096.47,214.66,142.70,121.72
0.0490,103.35,91.47,421.13,-30.63,-13.63,8.95,408.75,371.50,876.63,155.78,101.37,87.66
0.0500,115.78,102.58,422.58,-30.77,-14.39,7.19,302.80,260.22,625.76,84.56,52.48,48.51
0.0510,114.53,100.93,398.36,-38.15,-20.03,1.74,183.96,140.22,368.42,8.01,0.86,8.14
0.0520,99.83,86.76,350.95,-51.91,-29.91,-6.78,63.86,23.39,130.41,-66.13,-48.25,-29.33
0.0530,73.24,61.54,285.03,-70.61,-42.98,-17.50,-45.41,-78.50,-64.00,-130.27,-89.80,-60.02
0.0540,37.47,27.83,207.13,-92.36,-57.91,-29.31,-132.73,-155.18,-195.20,-177.86,-119.53,-80.78
0.0550,-3.84,-10.93,125.13,-114.92,-73.18,-41.03,-189.35,-199.17,-250.77,-204.20,-134.53,-89.59
0.0560,-46.45,-50.71,47.57,-135.98,-87.20,-51.43,-209.97,-206.53,-226.45,-206.88,-133.48,-85.72
0.0570,-85.83,-87.31,-17.28,-153.34,-98.51,-59.45,-193.02,-177.00,-125.76,-185.89,-116.66,-69.68
0.0580,-117.71,-116.83,-62.56,-165.25,-105.97,-64.27,-140.33,-113.52,41.38,-143.36,-85.72,-43.05
0.0590,-138.66,-136.12,-83.61,-170.60,-108.90,-65.49,-56.61,-21.76,259.98,-83.30,-43.54,-8.31
0.0600,-146.46,-143.17,-78.39,-169.00,-107.10,-63.06,51.04,90.38,510.91,-11.24,6.00,31.34
0.0610,-140.39,-137.26,-47.41,-160.70,-100.82,-57.29,173.36,213.01,771.70,66.01,58.20,72.09
0.0620,-121.21,-118.98,6.50,-146.49,-90.66,-48.72,299.20,334.82,1017.84,140.93,107.93,109.89
0.0630,-90.94,-90.12,78.51,-127.55,-77.49,-38.08,416.23,443.84,1224.97,206.00,150.14,140.86
0.0640,-52.68,-53.50,162.03,-105.43,-62.39,-26.22,512.17,528.83,1371.82,254.65,180.50,161.83
0.0650,-10.27,-12.76,248.96,-81.93,-46.62,-14.12,576.50,580.66,1442.96,282.01,196.00,170.73
0.0660,31.97,27.92,330.43,-59.11,-31.55,-2.81,601.94,593.58,1430.68,285.54,195.22,166.86
0.0670,69.76,64.34,397.76,-39.08,-18.58,6.67,585.48,565.86,1335.58,265.06,178.40,150.77
0.0680,99.35,92.77,443.77,-23.80,-8.95,13.44,528.72,499.96,1166.38,222.66,147.30,124.13
0.0690,118.03,110.47,463.81,-14.82,-3.60,16.81,437.58,402.36,939.15,162.41,104.92,89.52
0.0700,124.38,116.01,456.36,-13.08,-3.07,16.44,321.62,283.00,676.42,90.12,55.36,50.27
0.0710,118.31,109.28,422.90,-18.80,-7.41,12.34,193.16,154.48,405.51,13.01,3.57,10.29
0.0720,100.89,91.39,367.47,-31.48,-16.24,4.86,66.10,30.78,155.90,-60.84,-45.03,-26.27
0.0730,74.17,64.42,296.08,-49.94,-28.75,-5.35,-45.66,-74.39,-44.61,-123.36,-85.17,-55.45
0.0740,40.92,31.22,216.19,-72.42,-43.77,-17.35,-130.03,-149.62,-174.23,-167.64,-112.49,-74.09
0.0750,4.44,-4.82,136.07,-96.71,-59.85,-29.98,-178.54,-187.46,-220.60,-189.12,-124.24,-80.38
0.0760,-31.71,-40.05,64.13,-120.29,-75.35,-41.94,-187.63,-185.57,-182.51,-186.29,-119.70,-74.08
0.0770,-64.07,-70.98,7.85,-140.63,-88.64,-51.94,-159.16,-146.81,-69.27,-160.85,-100.25,-56.49
0.0780,-89.62,-94.67,-27.23,-155.51,-98.27,-58.86,-99.82,-78.50,101.50,-117.29,-68.98,-30.15
0.0790,-106.07,-109.00,-38.15,-163.32,-103.20,-61.95,-19.72,9.01,307.21,-61.91,-30.13,1.61
0.0800,-111.98,-112.80,-24.59,-163.28,-102.92,-60.87,69.49,104.13,523.76,-1.74,11.65,35.27
0.0810,-106.73,-105.82,11.58,-155.50,-97.49,-55.77,156.93,196.10,729.30,56.82,52.11,67.62
0.0820,-90.46,-88.55,66.97,-140.87,-87.49,-47.22,234.50,276.86,907.58,109.02,88.05,96.27
0.0830,-64.09,-62.16,137.10,-120.93,-73.93,-36.12,298.48,342.53,1050.47,152.60,117.90,119.99
0.0840,-29.47,-28.57,216.48,-97.68,-58.17,-23.61,349.83,393.69,1158.48,187.80,141.73,138.72
0.0850,10.56,9.54,298.60,-73.38,-41.78,-10.96,392.93,434.24,1238.36,216.60,160.72,153.26
0.0860,52.22,48.70,376.08,-50.35,-26.36,0.56,432.90,468.88,1298.40,241.22,176.28,164.50
0.0870,91.09,84.97,441.31,-30.80,-13.44,9.83,472.61,500.37,1343.37,262.62,189.02,172.81
0.0880,122.79,114.43,487.43,-16.54,-4.23,16.01,510.76,527.77,1371.53,279.64,198.21,177.61
0.0890,143.65,133.77,509.35,-8.80,0.47,18.63,541.81,546.40,1374.83,289.19,201.95,177.57
0.0900,151.31,140.77,504.51,-8.15,0.34,17.59,557.61,549.28,1341.75,287.19,197.74,171.01
0.0910,145.00,134.64,473.13,-14.46,-4.45,13.12,549.95,529.42,1261.46,269.97,183.33,156.53
0.0920,125.63,116.07,418.12,-27.06,-13.38,5.71,513.01,482.11,1127.90,235.44,157.59,133.60
0.0930,95.54,87.08,344.85,-44.76,-25.58,-3.95,445.23,406.62,942.92,183.94,120.96,102.87
0.0940,58.17,50.84,260.74,-65.99,-39.97,-15.03,350.08,307.13,717.81,118.60,75.74,66.38
0.0950,17.67,11.32,174.69,-88.82,-55.22,-26.57,235.96,192.45,472.82,45.14,25.94,27.39
0.0960,-21.55,-27.13,96.17,-111.13,-69.92,-37.52,114.95,74.89,234.38,-28.83,-23.24,-10.03
0.0970,-55.33,-60.32,33.97,-130.71,-82.63,-46.82,0.97,-31.88,30.57,-94.99,-66.27,-41.65
0.0980,-80.29,-84.78,-5.09,-145.58,-92.08,-53.55,-92.57,-115.17,-114.01,-145.72,-98.18,-63.82
0.0990,-94.28,-98.20,-17.21,-154.17,-97.29,-56.98,-154.89,-165.33,-182.38,-175.30,-115.39,-74.07
0.1000,-96.56,-99.72,-1.92,-155.49,-97.69,-56.70,-179.27,-176.99,-167.26,-180.66,-116.15,-71.38
0.1010,-87.65,-89.80,38.22,-149.28,-93.15,-52.62,-163.57,-149.28,-70.88,-161.52,-100.56,-56.20
0.1020,-69.02,-69.95,98.35,-135.95,-84.00,-45.00,-109.90,-85.37,96.51,-120.11,-70.37,-30.18
0.1030,-42.67,-42.39,172.16,-116.58,-70.96,-34.42,-23.90,8.29,318.50,-60.69,-28.63,4.10
0.1040,-10.94,-9.77,252.46,-92.93,-55.17,-21.79,85.98,122.65,573.99,10.96,20.61,43.34
0.1050,23.65,25.05,331.70,-67.27,-38.12,-8.33,209.13,246.68,838.48,87.97,72.61,83.79
0.1060,58.33,59.07,402.51,-42.22,-21.53,4.58,333.49,368.16,1085.80,162.88,122.29,121.48
0.1070,90.18,89.34,458.32,-20.42,-7.15,15.54,446.54,474.79,1290.70,228.32,164.72,152.67
0.1080,116.38,113.22,494.10,-4.23,3.48,23.32,536.72,555.59,1431.99,277.81,195.68,174.27
0.1090,134.44,128.56,506.93,4.67,9.24,27.09,594.87,602.40,1495.38,306.53,212.19,184.20
0.1100,142.55,133.99,496.12,5.43,9.56,26.48,615.44,610.76,1475.07,311.80,212.77,181.63
0.1110,139.78,128.99,463.09,-1.87,4.49,21.62,596.94,580.34,1373.94,293.29,197.53,166.91
0.1120,126.14,113.89,410.97,-16.34,-5.40,13.07,541.85,514.59,1202.62,252.87,168.01,141.51
0.1130,102.58,89.85,344.30,-36.43,-19.05,1.75,455.98,420.27,978.07,194.37,127.00,107.79
0.1140,70.97,58.84,268.84,-60.04,-35.05,-11.15,347.84,306.67,722.23,123.29,78.34,68.90
0.1150,33.99,23.52,191.34,-84.73,-51.73,-24.24,227.88,184.96,460.38,46.48,26.71,28.58
0.1160,-4.94,-12.86,119.09,-107.92,-67.31,-36.12,107.83,67.24,218.99,-28.44,-22.77,-9.16
0.1170,-41.89,-46.73,59.17,-127.21,-80.15,-45.52,-0.45,-34.70,22.72,-93.85,-65.06,-40.44
0.1180,-72.81,-74.56,17.64,-140.70,-88.95,-51.49,-86.18,-110.74,-108.77,-143.07,-95.88,-62.08
0.1190,-94.06,-93.27,-1.25,-147.20,-92.91,-53.54,-141.05,-153.66,-163.31,-171.24,-112.19,-71.97
0.1200,-102.98,-100.61,4.60,-146.35,-91.85,-51.65,-160.08,-159.85,-137.17,-175.81,-112.58,-69.30
0.1210,-98.30,-95.52,35.02,-138.49,-86.05,-46.18,-141.96,-129.28,-34.44,-156.66,-97.20,-54.49
0.1220,-80.39,-78.23,87.68,-124.52,-76.22,-37.79,-88.78,-65.17,134.34,-115.86,-67.63,-29.04
0.1230,-51.18,-50.33,158.16,-105.71,-63.27,-27.26,-5.59,26.55,353.59,-57.31,-26.65,4.67
0.1240,-13.91,-14.63,240.03,-83.61,-48.32,-15.47,100.15,137.66,603.63,13.57,21.98,43.56
0.1250,27.34,25.09,325.16,-60.06,-32.62,-3.39,218.91,258.02,861.53,90.17,73.69,83.95
0.1260,68.14,64.55,404.55,-37.12,-17.53,7.95,339.67,376.25,1102.58,165.07,123.44,121.86
0.1270,104.32,99.55,469.53,-16.99,-4.46,17.50,450.77,480.72,1302.74,230.76,166.20,153.42
0.1280,132.45,126.55,513.10,-1.73,5.29,24.33,541.10,560.96,1441.72,280.53,197.55,175.34
0.1290,150.13,143.05,531.00,6.99,10.69,27.68,601.48,608.92,1505.70,309.32,214.32,185.38
0.1300,156.10,147.80,522.05,8.23,11.12,27.17,625.76,619.91,1488.85,314.32,214.90,182.63
0.1310,150.12,140.71,487.86,1.83,6.52,22.80,611.51,592.97,1393.40,295.24,199.36,167.47
0.1320,132.82,122.66,432.22,-11.54,-2.69,14.98,560.14,530.76,1228.79,254.09,169.31,141.48
0.1330,105.66,95.32,360.52,-30.51,-15.59,4.48,476.63,439.20,1010.57,194.91,127.68,107.16
0.1340,70.88,61.12,279.39,-53.12,-30.85,-7.61,369.01,327.00,759.32,123.38,78.45,67.80
0.1350,31.61,23.13,196.41,-77.08,-46.92,-20.04,247.72,205.03,499.33,46.43,26.41,27.23
0.1360,-8.31,-15.00,119.68,-99.96,-62.12,-31.51,124.71,85.40,256.59,-28.26,-23.21,-10.48
0.1370,-44.64,-49.36,57.03,-119.45,-74.90,-40.84,12.29,-19.85,55.82,-93.12,-65.37,-41.44
0.1380,-73.36,-76.28,15.03,-133.67,-84.01,-47.14,-78.29,-100.16,-82.74,-141.51,-95.75,-62.48
0.1390,-91.29,-92.86,-1.98,-141.31,-88.62,-49.85,-138.16,-147.84,-145.99,-168.65,-111.37,-71.54
0.1400,-96.68,-97.42,7.62,-141.74,-88.39,-48.81,-161.87,-158.72,-129.10,-172.08,-110.86,-67.86
0.1410,-89.33,-89.67,42.63,-134.99,-83.41,-44.18,-147.63,-132.30,-35.09,-151.77,-94.46,-51.95
0.1420,-70.46,-70.65,99.41,-121.66,-74.14,-36.37,-97.21,-71.44,126.44,-109.87,-63.84,-25.42
0.1430,-42.35,-42.49,172.31,-102.86,-61.35,-26.03,-15.44,18.18,340.51,-50.37,-21.91,9.25
0.1440,-7.92,-8.10,254.16,-80.20,-46.13,-14.01,90.26,128.41,587.68,21.18,27.46,48.85
0.1450,29.54,29.10,336.87,-55.73,-29.83,-1.35,210.23,249.05,844.97,98.04,79.59,89.64
0.1460,66.66,65.55,412.10,-31.84,-14.00,10.72,333.21,368.56,1087.36,172.72,129.37,127.58
0.1470,100.18,97.84,472.25,-11.01,-0.29,20.94,447.23,475.10,1290.39,237.68,171.72,158.77
0.1480,127.24,123.07,511.53,4.48,9.82,28.17,540.94,557.98,1433.38,286.23,202.27,179.95
0.1490,145.63,139.17,526.63,12.90,15.20,31.57,604.99,609.00,1502.23,313.41,217.90,188.96
0.1500,153.94,144.99,517.00,13.31,15.22,30.71,633.13,623.37,1490.91,316.61,217.14,184.95
0.1510,151.60,140.33,484.50,5.65,9.84,25.62,622.74,600.00,1401.46,295.70,200.21,168.44
0.1520,138.80,125.81,432.88,-9.27,-0.39,16.82,574.81,541.23,1242.94,252.96,168.87,141.14
0.1530,116.52,102.74,367.20,-29.89,-14.44,5.18,493.69,452.48,1030.26,192.63,126.23,105.75
0.1540,86.50,73.07,293.51,-54.11,-30.89,-8.09,386.73,341.88,783.11,120.58,76.43,65.72
0.1550,51.38,39.42,218.65,-79.45,-48.06,-21.63,264.01,219.87,524.96,43.83,24.34,25.00
0.1560,14.63,5.01,149.88,-103.37,-64.20,-34.04,137.69,98.48,281.37,-30.03,-24.84,-12.32
0.1570,-19.73,-26.58,94.20,-123.50,-77.70,-44.08,20.85,-9.80,77.37,-93.61,-66.15,-42.48
0.1580,-47.70,-51.84,57.56,-137.97,-87.29,-50.83,-74.10,-93.61,-65.87,-140.58,-95.47,-62.49
0.1590,-65.92,-67.86,43.94,-145.53,-92.15,-53.77,-137.17,-144.27,-133.87,-166.49,-110.05,-70.56
0.1600,-72.29,-72.75,54.95,-145.70,-91.97,-52.79,-162.10,-156.81,-120.39,-169.16,-108.76,-66.17
0.1610,-66.14,-65.85,89.77,-138.66,-86.93,-48.14,-146.87,-130.32,-27.44,-148.70,-92.02,-49.99
0.1620,-48.18,-47.76,145.40,-125.15,-77.58,-40.31,-93.60,-67.68,135.72,-107.28,-61.56,-23.68
0.1630,-20.27,-20.17,217.02,-106.43,-64.77,-30.03,-7.88,24.92,353.80,-48.76,-20.22,10.35
0.1640,14.89,14.31,298.22,-84.14,-49.66,-18.21,101.88,138.62,606.48,21.61,28.27,49.08
0.1650,53.97,52.39,381.42,-60.31,-33.63,-5.93,225.10,262.44,869.59,97.42,79.50,88.96
0.1660,93.24,90.38,458.45,-37.20,-18.23,5.65,349.79,384.16,1116.88,171.50,128.58,126.21
0.1670,128.86,124.48,521.44,-17.11,-4.99,15.36,463.56,491.47,1322.86,236.54,170.66,157.13
0.1680,157.27,151.24,563.89,-2.10,4.73,22.21,554.94,573.42,1466.13,285.98,201.50,178.56
0.1690,175.60,167.99,581.55,6.33,9.94,25.49,614.77,621.82,1532.22,314.81,217.98,188.36
0.1700,182.05,173.13,572.88,7.35,10.18,24.91,637.27,632.06,1515.13,320.23,218.53,185.63
0.1710,176.01,166.21,538.97,0.97,5.48,20.56,620.55,603.48,1417.37,301.83,203.19,170.70
0.1720,158.10,147.95,483.19,-12.13,-3.65,12.92,566.55,539.07,1248.93,261.52,173.53,145.10
0.1730,130.00,120.08,410.78,-30.63,-16.29,2.74,480.64,445.11,1026.07,203.19,132.38,111.26
0.1740,94.35,85.21,328.52,-52.74,-31.21,-8.98,371.12,330.63,770.02,132.38,83.68,72.41
0.1750,54.52,46.62,244.30,-76.29,-46.95,-21.07,248.54,206.75,505.68,55.93,32.14,32.31
0.1760,14.37,8.08,166.46,-98.93,-61.93,-32.32,124.90,85.78,259.51,-18.58,-17.11,-5.04
0.1770,-22.09,-26.60,102.89,-118.38,-74.64,-41.57,12.47,-20.09,56.54,-83.59,-59.06,-35.81
0.1780,-51.14,-53.91,59.99,-132.68,-83.78,-47.88,-77.60,-100.33,-82.91,-132.48,-89.45,-56.88
0.1790,-69.78,-71.11,41.89,-140.44,-88.48,-50.67,-136.62,-147.35,-145.85,-160.40,-105.32,-66.20
0.1800,-76.09,-76.49,50.12,-141.03,-88.36,-49.71,-159.32,-157.18,-127.73,-164.79,-105.27,-62.99
0.1810,-69.42,-69.50,83.70,-134.52,-83.51,-45.19,-144.11,-129.59,-31.95,-145.51,-89.49,-47.72
0.1820,-50.47,-50.80,139.50,-121.60,-74.44,-37.58,-92.87,-67.63,131.55,-104.60,-59.57,-21.89
0.1830,-21.19,-22.19,212.43,-103.44,-62.02,-27.57,-10.49,22.88,347.55,-45.91,-18.29,12.12
0.1840,15.39,13.49,295.69,-81.63,-47.32,-16.04,95.59,133.77,596.54,25.15,30.60,51.22
0.1850,55.43,52.62,381.06,-58.08,-31.67,-3.99,215.81,254.92,855.57,101.92,82.52,91.72
0.1860,94.72,91.06,459.58,-34.94,-16.49,7.49,338.94,374.87,1099.69,176.93,132.38,129.64
0.1870,129.16,124.74,522.69,-14.46,-3.23,17.30,452.98,481.79,1304.41,242.59,175.11,161.07
0.1880,155.27,150.12,563.49,1.30,6.79,24.49,546.37,564.83,1448.77,292.12,206.25,182.70
0.1890,170.66,164.76,577.83,10.69,12.58,28.31,609.49,615.54,1518.17,320.43,222.61,192.30
0.1900,174.20,167.48,564.73,12.74,13.53,28.36,635.85,628.80,1505.99,324.76,222.59,188.98
0.1910,166.04,158.42,526.20,7.18,9.53,24.60,622.75,603.35,1413.81,304.90,206.35,173.20
