Messart,Versuchsnummer,Dauer,Sampling-Frequenz,Trigger-Art
Athlet_3,4,1.0,500,Akustischer Reiz
Time,L_Fx,L_Fy,L_Fz,L_Mx,L_My,L_Mz,R_Fx,R_Fy,R_Fz,R_Mx,R_My,R_Mz
0.0020,-174.54,-197.18,-432.55,-61.51,0.13,9.35,105.41,158.41,468.73,97.94,46.63,53.86
0.0040,-199.72,-222.57,-446.26,-115.44,-44.37,-20.15,-21.22,18.18,196.56,-6.57,-13.29,8.46
0.0060,-218.04,-240.15,-440.96,-160.36,-82.05,-44.87,-115.72,-86.74,2.29,-86.98,-57.96,-24.78
0.0080,-224.61,-244.51,-404.76,-189.73,-107.93,-61.37,-156.70,-133.50,-65.62,-127.53,-77.64,-38.28
0.0100,-216.93,-233.39,-335.34,-200.66,-119.81,-68.17,-137.81,-116.87,-0.76,-124.32,-70.48,-30.91
0.0120,-195.75,-208.42,-241.22,-194.52,-118.67,-66.09,-69.50,-50.44,160.18,-86.16,-42.82,-8.23
0.0140,-165.32,-174.91,-139.81,-176.49,-108.29,-57.98,24.10,38.34,351.47,-31.34,-6.93,19.65
0.0160,-132.61,-140.64,-52.35,-154.09,-94.14,-47.83,112.61,117.45,502.01,18.59,23.30,41.65
0.0180,-105.59,-113.71,2.68,-134.98,-81.76,-39.61,168.94,160.93,560.45,45.96,37.14,49.67
0.0200,-90.85,-100.18,15.71,-124.79,-75.19,-36.10,177.89,157.21,512.44,42.63,30.50,41.31
0.0220,-91.43,-102.07,-10.48,-125.64,-75.93,-38.08,140.86,112.30,384.25,12.21,7.14,20.48
0.0240,-105.54,-116.64,-61.30,-135.68,-82.73,-44.29,74.98,46.84,231.49,-31.82,-23.07,-4.25
0.0260,-126.95,-137.19,-115.06,-150.03,-92.24,-51.98,6.80,-11.97,117.37,-71.53,-48.02,-23.02
0.0280,-146.96,-155.20,-150.13,-162.67,-100.40,-58.00,-37.26,-40.44,88.74,-91.29,-57.90,-28.45
0.0300,-157.32,-163.24,-152.27,-168.62,-103.92,-60.02,-40.30,-27.05,158.70,-83.55,-48.91,-18.43
0.0320,-153.22,-157.50,-119.43,-165.67,-101.51,-57.32,-0.85,23.63,302.29,-51.52,-24.53,3.17
0.0340,-134.99,-139.12,-62.18,-155.09,-94.17,-51.04,66.90,93.05,466.56,-7.69,5.82,28.02
0.0360,-108.06,-113.78,0.32,-141.00,-84.84,-43.68,138.55,155.91,591.07,31.04,30.50,46.54
0.0380,-80.96,-89.51,47.45,-128.80,-77.14,-38.15,188.67,189.74,631.04,49.88,40.09,51.56
0.0400,-62.15,-73.81,64.79,-123.06,-74.02,-36.60,200.19,183.36,574.26,41.75,30.96,41.13
0.0420,-56.88,-70.83,49.39,-125.83,-76.63,-39.68,170.71,140.99,445.53,10.00,6.68,19.17
0.0440,-65.24,-79.83,10.77,-135.91,-83.93,-46.25,113.24,80.42,297.00,-32.99,-23.41,-5.94
0.0460,-82.13,-95.53,-32.75,-149.34,-93.08,-53.86,51.19,26.25,188.19,-70.56,-47.74,-24.64
0.0480,-99.35,-110.21,-61.17,-160.90,-100.57,-59.68,9.36,0.41,163.32,-88.11,-56.91,-29.76
0.0500,-108.78,-116.65,-60.47,-166.10,-103.55,-61.57,4.58,13.86,234.54,-78.64,-47.26,-19.24
0.0520,-105.56,-111.05,-28.04,-162.88,-100.87,-58.88,39.26,62.44,377.37,-45.32,-22.19,3.11
0.0540,-89.98,-94.45,26.22,-152.33,-93.53,-52.65,100.63,128.46,540.02,-0.20,9.16,29.14
0.0560,-67.39,-72.37,83.61,-138.25,-84.23,-45.23,165.65,187.48,662.95,40.34,35.41,49.38
0.0580,-46.06,-52.71,123.79,-125.72,-76.36,-39.34,209.93,217.60,701.22,61.79,47.16,56.65
0.0600,-34.00,-42.63,132.54,-119.15,-72.72,-37.06,216.97,207.68,641.17,56.83,40.49,48.61
0.0620,-35.85,-45.87,107.22,-120.59,-74.40,-39.04,184.34,161.45,505.08,27.95,18.29,28.59
0.0640,-51.13,-61.22,57.83,-128.97,-80.42,-44.22,124.28,95.87,342.33,-13.74,-10.99,4.16
0.0660,-74.40,-83.06,3.19,-140.52,-88.11,-50.31,58.83,34.55,210.58,-52.82,-36.58,-15.75
0.0680,-97.30,-103.43,-36.24,-150.21,-94.10,-54.59,11.27,-1.14,154.55,-75.34,-49.43,-24.14
0.0700,-111.72,-115.06,-46.10,-153.71,-95.69,-55.04,-2.48,0.25,190.58,-73.80,-45.33,-18.33
0.0720,-112.69,-114.03,-23.48,-149.13,-91.85,-51.11,20.70,36.69,302.75,-49.43,-26.13,-0.64
0.0740,-100.18,-101.14,22.14,-137.70,-83.68,-43.94,70.91,94.53,451.62,-10.96,1.54,22.98
0.0760,-79.00,-81.54,72.74,-123.43,-74.00,-36.00,130.12,154.71,591.37,29.36,29.19,45.55
0.0780,-56.94,-62.63,108.80,-111.52,-66.29,-30.12,180.01,200.64,688.08,60.84,49.97,61.84
0.0800,-41.83,-51.31,116.78,-106.40,-63.37,-28.45,209.28,224.41,731.19,78.32,61.04,70.12
0.0820,-38.60,-51.28,94.36,-109.98,-66.32,-31.59,217.41,228.71,733.78,83.28,64.06,72.23
0.0840,-47.49,-61.76,51.26,-120.94,-74.02,-38.39,213.20,223.74,721.95,81.96,63.46,71.93
0.0860,-64.04,-77.84,5.41,-135.16,-83.59,-46.34,209.04,220.85,718.92,81.24,63.62,72.54
0.0880,-80.96,-92.43,-24.03,-147.28,-91.46,-52.49,213.75,226.03,731.80,84.59,66.27,74.91
0.0900,-90.94,-99.11,-24.16,-152.70,-94.67,-54.58,227.50,236.56,747.66,90.05,69.43,76.94
0.0920,-89.51,-94.58,6.62,-149.33,-92.03,-51.87,241.58,242.42,740.89,91.28,68.54,74.71
0.0940,-76.66,-79.96,57.95,-138.40,-84.52,-45.41,242.98,231.98,688.19,81.22,59.09,64.82
0.0960,-56.85,-60.29,111.45,-123.99,-74.99,-37.67,221.53,198.78,583.57,56.37,39.50,46.66
0.0980,-37.21,-42.62,147.76,-111.50,-67.01,-31.58,176.05,146.27,445.62,19.74,12.79,23.47
0.1000,-24.91,-33.31,153.93,-105.55,-63.55,-29.42,116.60,87.94,313.20,-19.34,-13.96,1.61
0.1020,-24.50,-35.64,128.30,-108.25,-65.83,-31.95,61.35,42.60,230.97,-48.38,-32.10,-11.76
0.1040,-36.16,-48.63,81.11,-118.34,-72.85,-38.10,29.66,26.85,230.77,-56.74,-34.91,-11.63
0.1060,-55.67,-67.38,30.49,-131.70,-81.76,-45.38,33.97,47.82,316.93,-40.26,-20.59,2.60
0.1080,-75.91,-84.94,-4.36,-142.95,-88.98,-50.84,74.07,99.42,462.08,-3.58,6.56,26.49
0.1100,-89.48,-94.88,-10.47,-147.51,-91.54,-52.22,136.36,163.82,615.55,41.03,37.35,51.89
0.1120,-91.46,-93.64,14.10,-143.38,-88.29,-48.81,198.37,217.66,721.59,77.91,60.96,69.84
0.1140,-81.26,-81.89,59.61,-131.90,-80.27,-41.74,237.05,240.81,740.44,93.79,68.91,73.95
0.1160,-62.86,-64.25,108.44,-117.24,-70.39,-33.55,237.65,224.17,663.90,82.90,58.35,62.79
0.1180,-43.25,-47.48,141.82,-104.82,-62.26,-27.25,199.51,173.43,519.30,49.24,33.22,40.57
0.1200,-29.74,-37.92,147.07,-99.23,-58.90,-25.14,136.66,107.24,359.84,5.30,2.89,15.60
0.1220,-27.16,-38.99,122.43,-102.53,-61.50,-27.97,72.69,50.33,244.93,-32.56,-21.32,-2.76
0.1240,-35.96,-49.94,77.83,-113.46,-69.07,-34.65,31.87,24.21,217.80,-50.24,-30.40,-7.68
0.1260,-52.13,-66.08,31.06,-127.88,-78.74,-42.67,29.88,38.96,289.00,-41.19,-21.00,2.65
0.1280,-68.83,-80.70,0.90,-140.38,-86.87,-49.04,67.73,89.27,432.11,-8.90,3.26,24.27
0.1300,-79.05,-87.63,-0.09,-146.26,-90.44,-51.41,131.29,156.34,593.55,34.39,33.17,48.96
0.1320,-78.40,-83.71,29.47,-143.34,-88.13,-48.94,196.62,214.96,712.69,72.33,57.40,67.39
0.1340,-66.78,-70.03,79.21,-132.74,-80.85,-42.62,239.10,243.10,744.85,90.60,66.82,72.59
0.1360,-48.48,-51.54,130.82,-118.46,-71.37,-34.88,242.79,230.29,678.32,82.33,57.89,62.63
0.1380,-30.58,-35.23,165.00,-105.83,-63.26,-28.62,206.60,181.68,538.88,50.74,34.05,41.33
0.1400,-20.25,-27.45,168.74,-99.47,-59.50,-26.14,144.59,116.02,380.05,7.89,4.42,16.82
0.1420,-21.89,-31.49,140.28,-101.56,-61.39,-28.25,80.67,58.59,262.68,-29.91,-19.72,-1.58
0.1440,-35.35,-46.18,89.94,-111.07,-68.02,-33.98,39.42,31.46,231.81,-48.27,-29.19,-6.88
0.1460,-55.84,-66.26,36.31,-124.13,-76.71,-40.98,36.72,45.14,299.45,-40.23,-20.41,2.91
0.1480,-75.64,-84.26,-0.66,-135.63,-84.01,-46.47,73.74,94.52,440.05,-8.91,3.22,24.01
0.1500,-87.09,-93.35,-7.14,-141.08,-87.05,-48.26,136.42,160.85,600.23,33.72,32.67,48.34
0.1520,-85.61,-89.93,19.31,-138.37,-84.62,-45.63,200.85,218.86,719.08,71.40,56.69,66.62
0.1540,-71.52,-75.13,68.75,-128.52,-77.63,-39.57,242.35,246.38,751.38,89.81,66.13,71.89
0.1560,-49.99,-54.39,122.57,-115.26,-68.75,-32.38,244.90,232.78,684.78,82.02,57.43,62.17
0.1580,-29.11,-35.47,160.50,-103.62,-61.35,-26.79,207.26,183.07,544.55,51.16,34.01,41.24
0.1600,-16.82,-25.52,168.26,-97.98,-58.23,-24.91,143.49,115.98,383.92,9.16,4.90,17.19
0.1620,-17.82,-28.28,142.99,-100.42,-60.54,-27.43,77.61,56.85,263.77,-27.77,-18.66,-0.72
0.1640,-31.77,-42.73,94.38,-109.92,-67.36,-33.32,34.41,27.95,229.45,-45.35,-27.56,-5.53
0.1660,-53.38,-63.36,40.97,-122.75,-76.01,-40.28,30.10,40.03,293.50,-36.72,-18.30,4.70
0.1680,-74.35,-82.28,3.17,-133.96,-83.14,-45.62,66.12,88.24,430.95,-5.07,5.69,26.14
0.1700,-86.52,-92.17,-4.51,-139.23,-86.02,-47.26,128.60,154.05,588.92,37.61,35.33,50.70
0.1720,-84.97,-89.07,21.10,-136.57,-83.53,-44.60,193.66,212.24,706.80,75.06,59.33,69.04
0.1740,-69.87,-73.85,70.63,-127.07,-76.67,-38.69,236.45,240.56,739.36,93.01,68.57,74.21
0.1760,-46.51,-51.94,125.79,-114.46,-68.13,-31.87,240.62,228.17,674.03,84.60,59.53,64.26
0.1780,-23.33,-31.28,166.26,-103.67,-61.24,-26.83,204.48,179.73,535.58,53.05,35.67,43.00
0.1800,-8.76,-19.34,177.37,-98.93,-58.71,-25.59,141.74,113.65,376.69,10.41,6.12,18.59
0.1820,-8.10,-20.38,155.61,-102.11,-61.55,-28.68,76.25,55.06,257.82,-27.04,-17.83,0.34
0.1840,-21.46,-33.78,109.87,-112.02,-68.70,-34.98,33.03,26.28,224.19,-45.02,-27.05,-4.78
0.1860,-43.72,-54.32,58.01,-124.85,-77.42,-42.08,28.74,38.36,288.61,-36.76,-18.04,5.14
0.1880,-66.44,-74.17,20.05,-135.64,-84.34,-47.26,65.40,86.94,426.71,-5.52,5.67,26.22
0.1900,-81.06,-85.80,10.52,-140.18,-86.75,-48.51,129.53,153.84,586.31,36.60,34.94,50.29
0.1920,-82.15,-84.90,32.95,-136.63,-83.68,-45.30,197.28,214.05,707.26,73.32,58.45,67.99
0.1940,-69.39,-71.93,78.61,-126.25,-76.22,-38.81,243.40,245.14,744.38,90.45,67.08,72.41
0.1960,-47.62,-51.90,129.92,-112.95,-67.18,-31.49,250.83,235.77,684.55,81.27,57.41,61.70
0.1980,-24.98,-32.38,167.29,-101.80,-59.99,-26.14,217.14,189.99,551.64,49.18,33.01,39.82
0.2000,-9.73,-20.60,176.65,-97.14,-57.42,-24.85,155.47,125.61,397.27,6.34,3.12,15.04
0.2020,-7.23,-20.70,154.91,-100.85,-60.51,-28.19,89.43,67.40,280.98,-30.91,-20.87,-3.24
0.2040,-17.90,-32.20,111.06,-111.66,-68.17,-35.00,44.15,37.61,247.49,-48.33,-29.82,-8.03
