Messart,Versuchsnummer,Dauer,Sampling-Frequenz,Trigger-Art,Auto-Zero vor Messung,Movement Time Links(s),Movement Time Rechts(s)
Athlet_3,4,4.0,1000,Visueller Reiz,Ja,1.424,0.954
Time,L_Fx,L_Fy,L_Fz,L_Mx,L_My,L_Mz,R_Fx,R_Fy,R_Fz,R_Mx,R_My,R_Mz
0.0010,0.22,0.14,1.09,0.53,0.50,0.03,0.02,-0.64,0.12,-0.08,-0.07,-0.01
0.0020,0.16,0.09,0.56,0.29,0.28,0.02,-0.00,-0.40,0.07,-0.05,-0.05,-0.01
0.0030,0.11,0.05,0.11,0.08,0.08,0.02,-0.02,-0.19,0.04,-0.03,-0.03,-0.01
0.0040,0.06,-0.00,-0.20,-0.07,-0.06,0.01,-0.04,-0.02,0.02,-0.02,-0.01,-0.01
0.0050,0.00,-0.05,-0.34,-0.16,-0.15,-0.00,-0.06,0.10,0.03,-0.02,-0.01,-0.01
0.0060,-0.05,-0.08,-0.33,-0.18,-0.17,-0.02,-0.07,0.17,0.04,-0.02,0.00,-0.01
0.0070,-0.09,-0.10,-0.19,-0.15,-0.14,-0.03,-0.07,0.19,0.06,-0.01,0.01,0.00
0.0080,-0.13,-0.09,0.02,-0.08,-0.07,-0.05,-0.07,0.17,0.06,0.01,0.02,0.01
0.0090,-0.15,-0.06,0.26,0.00,0.01,-0.06,-0.06,0.14,0.02,0.03,0.03,0.02
0.0100,-0.16,-0.02,0.48,0.08,0.09,-0.07,-0.04,0.11,-0.04,0.06,0.05,0.03
0.0110,-0.17,0.03,0.65,0.14,0.15,-0.08,-0.02,0.09,-0.14,0.08,0.08,0.04
0.0120,-0.16,0.08,0.74,0.19,0.18,-0.08,-0.00,0.08,-0.24,0.09,0.10,0.05
0.0130,-0.15,0.11,0.75,0.20,0.19,-0.08,0.02,0.10,-0.34,0.09,0.11,0.05
0.0140,-0.14,0.11,0.70,0.19,0.17,-0.07,0.02,0.12,-0.42,0.08,0.11,0.05
0.0150,-0.12,0.10,0.59,0.16,0.14,-0.06,0.02,0.15,-0.48,0.06,0.10,0.04
0.0160,-0.10,0.08,0.48,0.13,0.11,-0.05,0.00,0.17,-0.50,0.03,0.09,0.03
0.0170,-0.08,0.07,0.39,0.10,0.08,-0.04,-0.02,0.17,-0.50,0.01,0.07,0.02
0.0180,-0.06,0.05,0.33,0.08,0.06,-0.04,-0.04,0.15,-0.49,-0.01,0.05,0.01
0.0190,-0.04,0.05,0.30,0.07,0.04,-0.05,-0.05,0.12,-0.47,-0.02,0.03,-0.01
0.0200,-0.04,0.06,0.31,0.07,0.02,-0.06,-0.05,0.08,-0.45,-0.03,0.02,-0.02
0.0210,-0.04,0.08,0.32,0.08,0.00,-0.08,-0.03,0.03,-0.44,-0.02,0.02,-0.03
0.0220,-0.05,0.11,0.34,0.10,-0.01,-0.10,-0.01,-0.02,-0.43,-0.01,0.01,-0.03
0.0230,-0.06,0.15,0.34,0.11,-0.02,-0.12,0.02,-0.07,-0.43,-0.00,0.01,-0.02
0.0240,-0.04,0.19,0.32,0.11,-0.02,-0.13,0.03,-0.10,-0.43,0.01,0.01,-0.01
0.0250,-0.01,0.22,0.28,0.10,-0.01,-0.13,0.02,-0.13,-0.42,0.01,0.01,0.02
0.0260,0.04,0.26,0.20,0.07,-0.00,-0.13,-0.00,-0.13,-0.41,0.01,0.01,0.04
0.0270,0.10,0.28,0.10,0.04,0.01,-0.13,-0.04,-0.13,-0.39,0.00,0.00,0.06
0.0280,0.14,0.29,-0.02,0.00,0.01,-0.12,-0.08,-0.11,-0.36,-0.01,-0.00,0.08
0.0290,0.15,0.28,-0.13,-0.03,0.01,-0.11,-0.10,-0.09,-0.32,-0.03,-0.00,0.08
0.0300,0.12,0.27,-0.21,-0.04,0.01,-0.11,-0.12,-0.08,-0.26,-0.04,-0.00,0.09
0.0310,0.04,0.24,-0.23,-0.04,-0.00,-0.11,-0.11,-0.08,-0.19,-0.05,0.01,0.08
0.0320,-0.05,0.21,-0.18,-0.01,-0.01,-0.11,-0.09,-0.10,-0.12,-0.05,0.02,0.08
0.0330,-0.15,0.19,-0.09,0.03,-0.02,-0.11,-0.06,-0.15,-0.05,-0.06,0.04,0.07
0.0340,-0.23,0.17,0.04,0.07,-0.02,-0.12,-0.02,-0.20,0.00,-0.05,0.06,0.06
0.0350,-0.27,0.15,0.15,0.11,-0.02,-0.12,0.02,-0.26,0.03,-0.05,0.07,0.04
0.0360,-0.27,0.15,0.23,0.13,-0.01,-0.11,0.05,-0.30,0.02,-0.05,0.07,0.03
0.0370,-0.24,0.14,0.26,0.12,-0.00,-0.10,0.08,-0.31,-0.01,-0.05,0.07,0.02
0.0380,-0.19,0.14,0.24,0.10,0.00,-0.10,0.11,-0.27,-0.07,-0.05,0.05,0.00
0.0390,-0.14,0.14,0.19,0.07,0.01,-0.10,0.12,-0.21,-0.14,-0.05,0.03,-0.01
0.0400,-0.09,0.14,0.13,0.04,0.01,-0.11,0.13,-0.13,-0.21,-0.05,0.01,-0.01
0.0410,-0.05,0.15,0.07,0.01,-0.01,-0.13,0.12,-0.04,-0.28,-0.05,-0.01,-0.02
0.0420,-0.02,0.15,0.05,-0.00,-0.03,-0.16,0.10,0.03,-0.35,-0.04,-0.03,-0.01
0.0430,0.00,0.15,0.06,-0.00,-0.07,-0.20,0.08,0.09,-0.41,-0.03,-0.03,-0.00
0.0440,0.03,0.15,0.10,0.01,-0.11,-0.23,0.04,0.11,-0.46,-0.02,-0.03,0.01
0.0450,0.05,0.13,0.17,0.05,-0.16,-0.25,0.01,0.11,-0.49,-0.01,-0.03,0.02
0.0460,0.08,0.09,0.25,0.08,-0.19,-0.25,-0.01,0.09,-0.50,0.00,-0.01,0.04
0.0470,0.09,0.06,0.31,0.11,-0.20,-0.24,-0.02,0.07,-0.47,0.01,0.01,0.05
0.0480,0.10,0.02,0.33,0.13,-0.18,-0.22,-0.02,0.04,-0.42,0.02,0.04,0.06
0.0490,0.10,-0.01,0.31,0.13,-0.15,-0.19,0.00,0.03,-0.33,0.02,0.07,0.07
0.0500,0.08,-0.03,0.26,0.12,-0.10,-0.16,0.04,0.03,-0.22,0.02,0.10,0.07
0.0510,0.06,-0.02,0.20,0.11,-0.05,-0.14,0.08,0.04,-0.11,0.01,0.12,0.07
0.0520,0.05,0.00,0.16,0.09,-0.00,-0.14,0.13,0.06,-0.00,0.00,0.13,0.07
0.0530,0.03,0.04,0.18,0.09,0.04,-0.14,0.19,0.08,0.08,-0.01,0.14,0.07
0.0540,0.02,0.08,0.24,0.11,0.06,-0.14,0.24,0.08,0.11,-0.02,0.13,0.06
0.0550,0.00,0.13,0.32,0.12,0.06,-0.15,0.28,0.07,0.10,-0.03,0.11,0.05
0.0560,-0.04,0.17,0.40,0.14,0.06,-0.15,0.32,0.05,0.04,-0.03,0.09,0.04
0.0570,-0.10,0.20,0.44,0.15,0.04,-0.14,0.35,0.00,-0.06,-0.02,0.07,0.03
0.0580,-0.18,0.22,0.43,0.14,0.02,-0.13,0.37,-0.05,-0.18,-0.01,0.05,0.02
0.0590,-0.26,0.22,0.37,0.12,-0.01,-0.12,0.37,-0.10,-0.29,0.01,0.03,0.01
0.0600,-0.33,0.20,0.27,0.10,-0.03,-0.12,0.35,-0.14,-0.38,0.02,0.02,0.01
0.0610,-0.37,0.17,0.16,0.07,-0.05,-0.13,0.31,-0.14,-0.42,0.03,0.01,0.00
0.0620,-0.37,0.13,0.07,0.06,-0.06,-0.14,0.25,-0.10,-0.40,0.03,0.01,-0.00
0.0630,-0.33,0.09,0.02,0.07,-0.06,-0.15,0.18,-0.03,-0.32,0.04,0.01,-0.00
0.0640,-0.25,0.05,0.00,0.09,-0.05,-0.15,0.10,0.06,-0.21,0.03,0.02,0.00
0.0650,-0.16,0.03,0.02,0.11,-0.04,-0.15,0.02,0.14,-0.09,0.03,0.04,0.01
0.0660,-0.08,0.02,0.07,0.14,-0.02,-0.14,-0.04,0.20,0.01,0.02,0.05,0.02
0.0670,-0.01,0.03,0.12,0.15,-0.02,-0.12,-0.09,0.22,0.06,0.01,0.06,0.03
0.0680,0.04,0.07,0.17,0.14,-0.02,-0.10,-0.10,0.19,0.06,-0.00,0.06,0.05
0.0690,0.05,0.12,0.22,0.13,-0.03,-0.08,-0.08,0.13,0.01,-0.01,0.06,0.06
0.0700,0.03,0.19,0.26,0.10,-0.04,-0.07,-0.04,0.04,-0.08,-0.02,0.05,0.07
0.0710,-0.00,0.26,0.29,0.08,-0.05,-0.07,0.02,-0.04,-0.17,-0.02,0.04,0.07
0.0720,-0.05,0.33,0.33,0.08,-0.03,-0.06,0.07,-0.10,-0.26,-0.03,0.03,0.07
0.0730,-0.09,0.36,0.37,0.09,-0.01,-0.07,0.11,-0.13,-0.33,-0.02,0.02,0.05
0.0740,-0.12,0.37,0.40,0.13,0.03,-0.07,0.13,-0.13,-0.38,-0.02,0.02,0.04
0.0750,-0.13,0.34,0.40,0.16,0.06,-0.08,0.11,-0.10,-0.42,-0.01,0.01,0.02
0.0760,-0.12,0.27,0.38,0.20,0.08,-0.09,0.08,-0.06,-0.45,-0.00,0.01,0.01
0.0770,-0.09,0.18,0.31,0.21,0.09,-0.10,0.03,-0.01,-0.48,0.00,0.01,0.01
0.0780,-0.07,0.08,0.23,0.21,0.08,-0.10,-0.02,0.03,-0.51,-0.00,0.00,0.02
0.0790,-0.05,-0.02,0.15,0.19,0.06,-0.10,-0.05,0.06,-0.51,-0.01,-0.00,0.03
