Messart,Versuchsnummer,Dauer,Sampling-Frequenz,Trigger-Art,Auto-Zero vor Messung
Athlet_3,5,1.75,1000,Akustischer Reiz,Nein
Time,L_Fx,L_Fy,L_Fz,L_Mx,L_My,L_Mz,R_Fx,R_Fy,R_Fz,R_Mx,R_My,R_Mz
0.0010,-226.36,-279.20,-731.55,-121.32,-46.05,-30.71,53.69,73.17,207.96,48.46,7.97,19.73
0.0020,-172.29,-213.16,-471.03,-110.84,-44.92,-22.07,179.68,198.15,536.49,110.55,62.89,65.76
0.0030,-121.21,-151.50,-234.50,-101.05,-43.95,-14.69,293.42,309.21,823.59,164.76,110.51,105.34
0.0040,-76.11,-98.18,-41.55,-92.75,-43.42,-9.62,384.04,394.40,1035.25,204.25,144.77,133.20
0.0050,-39.77,-56.35,95.94,-86.92,-43.77,-7.54,443.19,445.25,1150.36,224.13,161.79,146.13
0.0060,-14.53,-28.11,174.81,-84.59,-45.59,-8.74,465.83,457.47,1162.31,221.92,160.21,143.22
0.0070,-1.94,-14.31,199.47,-86.66,-49.46,-13.14,450.53,430.95,1077.62,197.54,141.00,125.66
0.0080,-2.50,-14.65,179.58,-93.69,-55.85,-20.35,399.36,369.29,912.76,153.14,106.90,96.20
0.0090,-15.54,-27.72,127.35,-105.73,-64.93,-29.82,317.59,279.23,690.71,92.76,61.96,58.57
0.0100,-39.18,-51.14,55.43,-122.24,-76.51,-40.83,213.24,170.05,438.20,22.03,10.99,17.04
0.0110,-70.39,-81.69,-24.28,-142.08,-89.95,-52.58,96.59,52.88,183.31,-52.24,-40.76,-23.98
0.0120,-105.20,-115.43,-101.13,-163.50,-104.18,-64.20,-20.61,-60.21,-46.82,-122.57,-88.07,-60.28
0.0130,-139.16,-148.08,-166.02,-184.41,-117.89,-74.73,-126.27,-157.49,-228.54,-181.71,-126.23,-88.25
0.0140,-167.85,-175.47,-211.71,-202.56,-129.64,-83.30,-209.39,-228.97,-344.20,-223.55,-151.54,-105.28
0.0150,-187.64,-194.11,-233.36,-215.92,-138.16,-89.12,-261.40,-267.56,-383.76,-243.85,-161.75,-109.94
0.0160,-196.19,-201.70,-228.81,-222.93,-142.47,-91.66,-277.12,-269.69,-345.07,-240.77,-156.12,-102.11
0.0170,-192.78,-197.43,-198.70,-222.69,-142.05,-90.63,-255.07,-235.33,-232.97,-214.79,-135.42,-82.78
