time,CH0_hat1,CH1_hat1,CH2_hat1,CH0_hat2,CH1_hat2,CH2_hat2
0.0010,31531,31253,30819,32577,32500,32443
0.0020,31232,31158,31006,32585,32527,32561
0.0030,31175,31098,31058,32672,32584,32645
0.0040,31181,31091,31095,32758,32663,32733
0.0050,31211,31101,31121,32863,32767,32850
0.0060,31231,31119,31142,32961,32862,32948
0.0070,31258,31146,31173,33052,32944,33029
0.0080,31282,31171,31208,33132,33028,33098
0.0090,31312,31196,31237,33182,33070,33136
0.0100,31345,31228,31273,33234,33114,33163
0.0110,31380,31260,31300,33243,33122,33160
0.0120,31404,31283,31322,33218,33094,33119
0.0130,31413,31295,31328,33181,33061,33072
0.0140,31414,31296,31320,33129,33005,33017
0.0150,31418,31303,31326,33070,32943,32939
0.0160,31417,31301,31323,32998,32877,32872
0.0170,31413,31298,31306,32944,32827,32837
0.0180,31407,31297,31308,32897,32779,32780
0.0190,31392,31278,31281,32868,32760,32770
0.0200,31383,31275,31289,32861,32754,32776
0.0210,31380,31269,31270,32875,32772,32807
0.0220,31372,31263,31276,32918,32825,32884
0.0230,31379,31267,31283,32991,32890,32957
0.0240,31388,31275,31297,33066,32965,33030
0.0250,31398,31285,31311,33149,33053,33143
0.0260,31418,31302,31333,33251,33146,33229
0.0270,31431,31317,31353,33319,33214,33296
0.0280,31454,31340,31375,33395,33286,33356
0.0290,31487,31369,31418,33442,33327,33397
0.0300,31501,31380,31423,33475,33357,33410
0.0310,31524,31404,31450,33480,33357,33407
0.0320,31545,31418,31458,33455,33324,33345
0.0330,31551,31433,31461,33390,33268,33292
0.0340,31564,31442,31480,33365,33233,33240
0.0350,31562,31442,31459,33289,33160,33159
0.0360,31581,31460,31480,33213,33087,33084
0.0370,31543,31431,31451,33160,33038,33035
0.0380,31538,31419,31426,33100,32982,32982
0.0390,31517,31404,31417,33055,32943,32963
0.0400,31509,31396,31403,33047,32940,32962
0.0410,31499,31382,31396,33057,32953,32986
0.0420,31488,31380,31387,33111,33012,33070
0.0430,31485,31372,31392,33167,33064,33123
0.0440,31488,31379,31401,33230,33129,33202
0.0450,31506,31389,31413,33318,33220,33301
0.0460,31510,31396,31429,33413,33306,33386
0.0470,31532,31419,31456,33479,33369,33451
0.0480,31548,31429,31468,33552,33442,33515
0.0490,31568,31449,31495,33594,33478,33546
0.0500,31597,31474,31519,33618,33498,33561
0.0510,31616,31495,31532,33627,33504,33547
0.0520,31629,31508,31553,33592,33464,33486
0.0530,31642,31520,31550,33547,33422,33439
0.0540,31641,31524,31556,33488,33364,33373
0.0550,31643,31519,31543,33416,33286,33283
0.0560,31639,31520,31532,33342,33215,33210
0.0570,31621,31508,31520,33282,33162,33163
0.0580,31603,31492,31497,33221,33104,33105
0.0590,31590,31478,31493,33184,33071,33085
0.0600,31579,31465,31474,33175,33060,33081
0.0610,31571,31457,31465,33173,33067,33108
0.0620,31559,31446,31458,33218,33118,33175
0.0630,31561,31443,31460,33275,33175,33241
0.0640,31553,31438,31457,33343,33240,33313
0.0650,31565,31448,31477,33425,33325,33410
0.0660,31574,31460,31486,33518,33412,33489
0.0670,31590,31474,31514,33577,33466,33549
0.0680,31607,31487,31529,33647,33534,33610
0.0690,31631,31512,31560,33689,33575,33643
0.0700,31644,31523,31560,33715,33592,33651
0.0710,31658,31541,31584,33716,33594,33634
0.0720,31679,31560,31594,33681,33551,33576
0.0730,31684,31566,31608,33634,33506,33524
0.0740,31687,31564,31595,33577,33452,33456
0.0750,31683,31561,31587,33503,33373,33363
0.0760,31674,31556,31573,33420,33294,33294
0.0770,31663,31546,31565,33358,33239,33242
0.0780,31649,31533,31540,33299,33180,33185
