time,channel_0
0.000,32789.049593555275
0.001,32784.97361003453
0.002,32787.011601794904
0.003,32784.97361003453
0.004,32785.99260591472
0.005,32785.99260591472
0.006,32788.03059767509
0.007,32787.011601794904
0.008,32788.03059767509
0.009,32788.03059767509
0.010,32789.049593555275
0.011,32784.97361003453
0.012,32787.011601794904
0.013,32788.03059767509
0.014,32788.03059767509
0.015,32785.99260591472
0.016,32785.99260591472
0.017,32788.03059767509
0.018,32787.011601794904
0.019,32787.011601794904
0.020,32788.03059767509
0.021,32789.049593555275
0.022,32784.97361003453
0.023,32784.97361003453
0.024,32783.95461415435
0.025,32785.99260591472
0.026,32787.011601794904
0.027,32787.011601794904
0.028,32789.049593555275
0.029,32787.011601794904
0.030,32785.99260591472
0.031,32785.99260591472
0.032,32785.99260591472
0.033,32787.011601794904
0.034,32787.011601794904
0.035,32788.03059767509
0.036,32787.011601794904
0.037,32789.049593555275
0.038,32787.011601794904
0.039,32785.99260591472
0.040,32787.011601794904
0.041,32788.03059767509
0.042,32787.011601794904
0.043,32787.011601794904
0.044,32788.03059767509
0.045,32787.011601794904
0.046,32787.011601794904
0.047,32785.99260591472
0.048,32785.99260591472
0.049,32787.011601794904
0.050,32784.97361003453
0.051,32788.03059767509
0.052,32788.03059767509
0.053,32785.99260591472
0.054,32785.99260591472
0.055,32788.03059767509
0.056,32787.011601794904
0.057,32788.03059767509
0.058,32788.03059767509
0.059,32785.99260591472
0.060,32787.011601794904
0.061,32787.011601794904
0.062,32788.03059767509
0.063,32789.049593555275
0.064,32788.03059767509
0.065,32788.03059767509
0.066,32788.03059767509
0.067,32787.011601794904
0.068,32789.049593555275
0.069,32788.03059767509
0.070,32788.03059767509
0.071,32785.99260591472
0.072,32788.03059767509
0.073,32787.011601794904
0.074,32788.03059767509
0.075,32788.03059767509
0.076,32787.011601794904
0.077,32788.03059767509
0.078,32785.99260591472
0.079,32788.03059767509
0.080,32785.99260591472
0.081,32787.011601794904
0.082,32788.03059767509
0.083,32783.95461415435
0.084,32789.049593555275
0.085,32788.03059767509
0.086,32788.03059767509
0.087,32787.011601794904
0.088,32788.03059767509
0.089,32788.03059767509
0.090,32788.03059767509
0.091,32787.011601794904
0.092,32788.03059767509
0.093,32783.95461415435
0.094,32789.049593555275
0.095,32788.03059767509
0.096,32785.99260591472
0.097,32787.011601794904
0.098,32787.011601794904
0.099,32788.03059767509
0.100,32787.011601794904
0.101,32785.99260591472
0.102,32789.049593555275
0.103,32788.03059767509
0.104,32789.049593555275
0.105,32789.049593555275
0.106,32788.03059767509
0.107,32785.99260591472
0.108,32785.99260591472
0.109,32787.011601794904
0.110,32788.03059767509
0.111,32789.049593555275
0.112,32788.03059767509
