time,channel_0
0.000,32793.12557707602
0.001,32793.12557707602
0.002,32792.10658119583
0.003,32791.08758531565
0.004,32791.08758531565
0.005,32791.08758531565
0.006,32792.10658119583
0.007,32793.12557707602
0.008,32792.10658119583
0.009,32789.049593555275
0.010,32790.06858943546
0.011,32790.06858943546
0.012,32792.10658119583
0.013,32793.12557707602
0.014,32792.10658119583
0.015,32792.10658119583
0.016,32792.10658119583
0.017,32792.10658119583
0.018,32792.10658119583
0.019,32791.08758531565
0.020,32792.10658119583
0.021,32792.10658119583
0.022,32793.12557707602
0.023,32792.10658119583
0.024,32792.10658119583
0.025,32791.08758531565
0.026,32792.10658119583
0.027,32792.10658119583
0.028,32792.10658119583
0.029,32793.12557707602
0.030,32792.10658119583
0.031,32793.12557707602
0.032,32793.12557707602
0.033,32792.10658119583
0.034,32793.12557707602
0.035,32792.10658119583
0.036,32792.10658119583
0.037,32794.144572956204
0.038,32793.12557707602
0.039,32791.08758531565
0.040,32792.10658119583
0.041,32793.12557707602
0.042,32792.10658119583
0.043,32793.12557707602
0.044,32792.10658119583
0.045,32790.06858943546
0.046,32792.10658119583
0.047,32791.08758531565
0.048,32792.10658119583
0.049,32789.049593555275
0.050,32793.12557707602
0.051,32792.10658119583
0.052,32792.10658119583
0.053,32790.06858943546
0.054,32792.10658119583
0.055,32792.10658119583
0.056,32792.10658119583
0.057,32793.12557707602
0.058,32791.08758531565
0.059,32792.10658119583
0.060,32792.10658119583
0.061,32793.12557707602
0.062,32793.12557707602
0.063,32792.10658119583
0.064,32793.12557707602
0.065,32793.12557707602
0.066,32791.08758531565
0.067,32793.12557707602
0.068,32792.10658119583
0.069,32793.12557707602
0.070,32792.10658119583
0.071,32793.12557707602
0.072,32791.08758531565
0.073,32792.10658119583
0.074,32792.10658119583
0.075,32792.10658119583
0.076,32793.12557707602
0.077,32790.06858943546
0.078,32793.12557707602
0.079,32793.12557707602
0.080,32792.10658119583
0.081,32792.10658119583
0.082,32792.10658119583
0.083,32793.12557707602
0.084,32793.12557707602
0.085,32789.049593555275
0.086,32792.10658119583
0.087,32792.10658119583
0.088,32793.12557707602
0.089,32792.10658119583
0.090,32792.10658119583
0.091,32793.12557707602
0.092,32791.08758531565
0.093,32793.12557707602
0.094,32791.08758531565
0.095,32794.144572956204
0.096,32791.08758531565
0.097,32792.10658119583
0.098,32790.06858943546
0.099,32790.06858943546
0.100,32792.10658119583
0.101,32792.10658119583
0.102,32792.10658119583
0.103,32793.12557707602
0.104,32792.10658119583
0.105,32791.08758531565
0.106,32792.10658119583
0.107,32793.12557707602
0.108,32791.08758531565
0.109,32791.08758531565
0.110,32792.10658119583
0.111,32792.10658119583
0.112,32792.10658119583
0.113,32791.08758531565
0.114,32793.12557707602
0.115,32792.10658119583
0.116,32792.10658119583
0.117,32792.10658119583
0.118,32793.12557707602
0.119,32792.10658119583
0.120,32794.144572956204
0.121,32792.10658119583
0.122,32791.08758531565
0.123,32792.10658119583
0.124,32793.12557707602
0.125,32792.10658119583
0.126,32791.08758531565
0.127,32792.10658119583
0.128,32792.10658119583
0.129,32792.10658119583
0.130,32792.10658119583
0.131,32791.08758531565
0.132,32793.12557707602
0.133,32793.12557707602
0.134,32790.06858943546
0.135,32792.10658119583
0.136,32792.10658119583
0.137,32792.10658119583
0.138,32792.10658119583
0.139,32791.08758531565
0.140,32792.10658119583
0.141,32793.12557707602
0.142,32792.10658119583
0.143,32793.12557707602
0.144,32794.144572956204
0.145,32792.10658119583
0.146,32791.08758531565
0.147,32790.06858943546
0.148,32792.10658119583
0.149,32792.10658119583
0.150,32792.10658119583
0.151,32792.10658119583
0.152,32791.08758531565
0.153,32793.12557707602
0.154,32793.12557707602
0.155,32792.10658119583
