time,raw_value,voltage_calc,voltage_default
0.000,32822.67645760138,0.0083,32788.7199
0.001,32822.67645760138,0.0083,32788.7199
0.002,32821.657461721195,0.0082,32787.6816
0.003,32823.69545348157,0.0085,32789.7583
0.004,32823.69545348157,0.0085,32789.7583
0.005,32820.63846584101,0.0080,32786.6432
0.006,32821.657461721195,0.0082,32787.6816
0.007,32819.619469960824,0.0079,32785.6048
0.008,32823.69545348157,0.0085,32789.7583
0.009,32820.63846584101,0.0080,32786.6432
0.010,32821.657461721195,0.0082,32787.6816
0.011,32824.71444936175,0.0087,32790.7966
0.012,32822.67645760138,0.0083,32788.7199
0.013,32822.67645760138,0.0083,32788.7199
0.014,32821.657461721195,0.0082,32787.6816
0.015,32821.657461721195,0.0082,32787.6816
0.016,32822.67645760138,0.0083,32788.7199
0.017,32822.67645760138,0.0083,32788.7199
0.018,32821.657461721195,0.0082,32787.6816
0.019,32822.67645760138,0.0083,32788.7199
0.020,32820.63846584101,0.0080,32786.6432
0.021,32821.657461721195,0.0082,32787.6816
0.022,32824.71444936175,0.0087,32790.7966
0.023,32823.69545348157,0.0085,32789.7583
0.024,32823.69545348157,0.0085,32789.7583
0.025,32823.69545348157,0.0085,32789.7583
0.026,32823.69545348157,0.0085,32789.7583
0.027,32820.63846584101,0.0080,32786.6432
0.028,32823.69545348157,0.0085,32789.7583
0.029,32821.657461721195,0.0082,32787.6816
0.030,32822.67645760138,0.0083,32788.7199
0.031,32821.657461721195,0.0082,32787.6816
0.032,32821.657461721195,0.0082,32787.6816
0.033,32822.67645760138,0.0083,32788.7199
0.034,32822.67645760138,0.0083,32788.7199
0.035,32820.63846584101,0.0080,32786.6432
0.036,32823.69545348157,0.0085,32789.7583
0.037,32823.69545348157,0.0085,32789.7583
0.038,32823.69545348157,0.0085,32789.7583
0.039,32824.71444936175,0.0087,32790.7966
0.040,32823.69545348157,0.0085,32789.7583
0.041,32822.67645760138,0.0083,32788.7199
0.042,32822.67645760138,0.0083,32788.7199
0.043,32821.657461721195,0.0082,32787.6816
0.044,32821.657461721195,0.0082,32787.6816
0.045,32822.67645760138,0.0083,32788.7199
0.046,32823.69545348157,0.0085,32789.7583
0.047,32822.67645760138,0.0083,32788.7199
0.048,32823.69545348157,0.0085,32789.7583
0.049,32820.63846584101,0.0080,32786.6432
0.050,32823.69545348157,0.0085,32789.7583
0.051,32822.67645760138,0.0083,32788.7199
0.052,32823.69545348157,0.0085,32789.7583
0.053,32822.67645760138,0.0083,32788.7199
0.054,32823.69545348157,0.0085,32789.7583
0.055,32822.67645760138,0.0083,32788.7199
0.056,32820.63846584101,0.0080,32786.6432
0.057,32820.63846584101,0.0080,32786.6432
0.058,32822.67645760138,0.0083,32788.7199
0.059,32820.63846584101,0.0080,32786.6432
0.060,32822.67645760138,0.0083,32788.7199
0.061,32824.71444936175,0.0087,32790.7966
0.062,32823.69545348157,0.0085,32789.7583
0.063,32823.69545348157,0.0085,32789.7583
0.064,32820.63846584101,0.0080,32786.6432
0.065,32823.69545348157,0.0085,32789.7583
0.066,32823.69545348157,0.0085,32789.7583
0.067,32824.71444936175,0.0087,32790.7966
0.068,32822.67645760138,0.0083,32788.7199
0.069,32823.69545348157,0.0085,32789.7583
0.070,32824.71444936175,0.0087,32790.7966
0.071,32822.67645760138,0.0083,32788.7199
0.072,32822.67645760138,0.0083,32788.7199
0.073,32823.69545348157,0.0085,32789.7583
0.074,32823.69545348157,0.0085,32789.7583
0.075,32822.67645760138,0.0083,32788.7199
0.076,32823.69545348157,0.0085,32789.7583
0.077,32821.657461721195,0.0082,32787.6816
0.078,32823.69545348157,0.0085,32789.7583
0.079,32820.63846584101,0.0080,32786.6432
0.080,32820.63846584101,0.0080,32786.6432
0.081,32822.67645760138,0.0083,32788.7199
0.082,32823.69545348157,0.0085,32789.7583
0.083,32823.69545348157,0.0085,32789.7583
0.084,32823.69545348157,0.0085,32789.7583
0.085,32824.71444936175,0.0087,32790.7966
0.086,32823.69545348157,0.0085,32789.7583
0.087,32820.63846584101,0.0080,32786.6432
0.088,32822.67645760138,0.0083,32788.7199
0.089,32823.69545348157,0.0085,32789.7583
0.090,32823.69545348157,0.0085,32789.7583
0.091,32823.69545348157,0.0085,32789.7583
0.092,32823.69545348157,0.0085,32789.7583
0.093,32822.67645760138,0.0083,32788.7199
0.094,32823.69545348157,0.0085,32789.7583
0.095,32822.67645760138,0.0083,32788.7199
0.096,32822.67645760138,0.0083,32788.7199
0.097,32823.69545348157,0.0085,32789.7583
0.098,32823.69545348157,0.0085,32789.7583
0.099,32822.67645760138,0.0083,32788.7199
0.100,32822.67645760138,0.0083,32788.7199
0.101,32822.67645760138,0.0083,32788.7199
0.102,32822.67645760138,0.0083,32788.7199
0.103,32823.69545348157,0.0085,32789.7583
0.104,32821.657461721195,0.0082,32787.6816
0.105,32821.657461721195,0.0082,32787.6816
0.106,32822.67645760138,0.0083,32788.7199
0.107,32822.67645760138,0.0083,32788.7199
0.108,32823.69545348157,0.0085,32789.7583
0.109,32821.657461721195,0.0082,32787.6816
0.110,32823.69545348157,0.0085,32789.7583
0.111,32822.67645760138,0.0083,32788.7199
0.112,32822.67645760138,0.0083,32788.7199
0.113,32823.69545348157,0.0085,32789.7583
0.114,32823.69545348157,0.0085,32789.7583
0.115,32823.69545348157,0.0085,32789.7583
0.116,32822.67645760138,0.0083,32788.7199
0.117,32821.657461721195,0.0082,32787.6816
0.118,32820.63846584101,0.0080,32786.6432
0.119,32818.60047408064,0.0077,32784.5665
0.120,32820.63846584101,0.0080,32786.6432
0.121,32821.657461721195,0.0082,32787.6816
0.122,32822.67645760138,0.0083,32788.7199
0.123,32820.63846584101,0.0080,32786.6432
0.124,32822.67645760138,0.0083,32788.7199
0.125,32822.67645760138,0.0083,32788.7199
0.126,32819.619469960824,0.0079,32785.6048
0.127,32820.63846584101,0.0080,32786.6432
0.128,32820.63846584101,0.0080,32786.6432
0.129,32824.71444936175,0.0087,32790.7966
0.130,32822.67645760138,0.0083,32788.7199
0.131,32822.67645760138,0.0083,32788.7199
0.132,32820.63846584101,0.0080,32786.6432
