time,CH0_hat1,CH1_hat1,CH2_hat1,CH0_hat2,CH1_hat2,CH2_hat2
0.001,31781.262668052284,31568.292529093615,31262.59376503811,33145.849451709786,33276.384242167616,33641.473734229345
0.002,31660.002158310268,31598.862405499167,31571.34951673417,33744.47384232497,33625.15688542211,33876.02843583324
0.003,31705.856972918595,31611.090356061388,31644.717220107494,33892.345284640476,33731.216402669095,33850.53335957195
0.004,31734.388857563776,31618.22332722268,31645.736215987676,33901.52351209454,33748.553054526776,33809.741237553884
0.005,31748.654799886364,31625.356298383977,31644.717220107494,33840.335329067435,33683.285659297864,33684.30546234832
0.006,31738.464841084515,31610.071360181202,31607.014372540645,33701.642114206,33546.63205053733,33492.58248886339
0.007,31721.14191112137,31590.710438457685,31575.42550025491,33503.800322418356,33367.14671365782,33294.740697075744
0.008,31693.629022356374,31563.19754969269,31547.912611489915,33348.79025874969,33216.21586219096,33145.849451709786
0.009,31661.021154190454,31534.66566504751,31516.323739204177,33163.18610356747,33036.730525311454,32962.284902628475
0.01,31604.976380780277,31482.69687515807,31461.297961674187,32836.84912742291,32667.561821047915,32461.56160485666
0.011,31528.5516897664,31381.816283019754,31302.334604365326,32343.26445100426,32187.234584285143,31906.788745410908
0.012,31412.386159425307,31280.935690881437,31199.416020466637,31989.3927924975,31902.7095332091,31715.065771925976
0.013,31337.9994601718,31234.06188039293,31203.492003987376,31886.39268440187,31837.442137980186,31798.689622063022
0.014,31337.9994601718,31232.023888632557,31227.947905111818,31940.442246075814,31872.115441695547,31897.61051795684
0.015,31352.26540249439,31250.36581447589,31266.66974855885,32060.779006029123,31983.273974194788,32051.600778575055
0.016,31387.930258300865,31285.01167440218,31313.54355904736,32238.22473680773,32158.680098872494,32276.977252724893
0.017,31433.78507290919,31328.828497250135,31373.664315978276,32448.30416520079,32359.581299811485,32495.215105521573
0.018,31502.05779688159,31392.006241821608,31436.84206054975,32647.16576003888,32548.24486414506,32682.858866804694
0.019,31544.85562384936,31436.84206054975,31480.658883397704,32847.04715792742,32745.06685288225,32895.99770434911
0.02,31599.881401379353,31494.924825720293,31556.064578531394,33221.31487744322,33154.00787611341,33419.15666923086
0.021,31709.932956439334,31624.33730250379,31743.55982048544,33732.23620571955,33655.75097693567,34005.54342324062
0.022,31854.630371425606,31743.55982048544,31865.83932610764,34122.82077404257,33974.94933172707,34228.880291289555
0.023,31932.074058319668,31802.661581536173,31873.991293149124,34234.99910959227,34058.57318186411,34174.83072961561
0.024,31952.45397592337,31818.965515619133,31861.763342586903,34246.216943147236,34086.10786422631,34145.25644115251
0.025,31968.75791000633,31834.250453821907,31861.763342586903,34147.29604725341,33994.32558968565,33996.36519578655
0.026,31932.074058319668,31802.661581536173,31811.832544457837,33992.28598358475,33834.21651076472,33778.12734298988
0.027,31904.561169554672,31774.129696890992,31770.05371337025,33794.444191797105,33654.731173885215,33587.4241725554
0.028,31863.801334347274,31737.44584520433,31726.236890522294,33614.9588549176,33480.344852257964,33407.938835675894
0.029,31826.098486780425,31700.76199351767,31684.45805943471,33429.35469973538,33298.819909277554,33219.27527134232
0.03,31778.20568041173,31651.850191268786,31627.394290144348,33078.54245037997,32913.33435620679,32717.532170520055
0.031,31681.401071794153,31538.741648568248,31457.221978153448,32589.036986163133,32425.86849809085,32143.383053115715
