time,CH0_hat1,CH1_hat1,CH2_hat1,CH3_hat1,CH4_hat1,CH5_hat1,CH0_hat2,CH1_hat2,CH2_hat2,CH3_hat2,CH4_hat2,CH5_hat2
0.0010,31586,31250,30866,31506,31554,32069,31849,31636,31157,31978,31585,31511
0.0020,31424,31396,31190,31939,31258,31877,31488,31625,31487,32354,31137,31597
0.0030,31657,31592,31439,32253,31159,31655,31317,31534,31622,32600,31266,31769
0.0040,31335,31477,31482,32394,31292,31807,31565,31695,31830,32851,31442,31906
0.0050,31634,31641,31627,32549,31296,31762,31667,31834,32004,33053,31684,32149
0.0060,31846,31835,31801,32714,31310,31718,31854,31996,32165,33217,31879,32351
0.0070,31714,31822,31859,32811,31423,31855,32000,32149,32333,33398,32098,32577
0.0080,31848,31911,31937,32886,31468,31900,32214,32437,32753,33810,32555,33073
0.0090,31755,31911,32038,33025,31668,32133,32981,33068,33397,34415,33003,33448
0.0100,32101,32136,32228,33203,31750,32179,33209,33330,33595,34635,33271,33717
0.0110,32316,32315,32333,33290,31755,32151,33323,33402,33538,34590,33284,33742
0.0120,32228,32306,32333,33294,31791,32209,33254,33361,33452,34499,33250,33738
0.0130,32289,32335,32345,33311,31779,32192,33264,33318,33332,34369,33105,33587
0.0140,32147,32244,32264,33242,31786,32229,33022,33112,33088,34134,32918,33417
0.0150,31936,32073,32131,33133,31793,32287,32770,32885,32860,33910,32757,33283
0.0160,31895,31989,32015,33021,31757,32277,32770,32799,32717,33748,32527,33013
0.0170,31810,31912,31939,32948,31734,32272,32683,32721,32609,33608,32315,32774
0.0180,31795,31870,31868,32866,31688,32225,32318,32358,32157,33182,31919,32376
0.0190,31768,31806,31736,32712,31541,32069,31703,31798,31555,32595,31457,31967
0.0200,31738,31757,31651,32610,31396,31907,31384,31503,31353,32386,31241,31758
0.0210,31538,31644,31608,32574,31393,31914,31459,31546,31492,32497,31228,31699
0.0220,31627,31687,31667,32637,31385,31885,31415,31553,31586,32610,31328,31792
0.0230,31590,31678,31681,32656,31418,31918,31691,31766,31804,32813,31422,31849
0.0240,31620,31709,31741,32722,31477,31976,31754,31907,32029,33048,31643,32071
0.0250,31762,31810,31824,32794,31492,31969,31833,32012,32192,33237,31885,32347
0.0260,31764,31850,31891,32875,31570,32046,32142,32242,32389,33426,32040,32483
0.0270,31676,31807,31883,32879,31660,32169,32314,32434,32591,33638,32242,32683
0.0280,31829,31895,31953,32944,31692,32190,32515,32720,33016,34062,32691,33163
0.0290,31997,32062,32131,33107,31787,32265,32945,33149,33549,34598,33237,33718
0.0300,32032,32148,32276,33267,31960,32438,33576,33592,33816,34840,33386,33805
0.0310,32310,32324,32367,33333,31957,32408,33355,33512,33688,34761,33460,33946
0.0320,32312,32359,32379,33347,31953,32397,33527,33577,33640,34686,33379,33845
0.0330,32240,32322,32352,33329,31969,32431,33325,33432,33466,34512,33269,33764
0.0340,32223,32288,32296,33270,31920,32394,33154,33238,33220,34272,33073,33584
0.0350,32390,32376,32321,33270,31816,32244,33112,33147,33067,34084,32826,33313
0.0360,32288,32342,32296,33239,31771,32203,32893,32971,32895,33924,32658,33131
0.0370,32413,32402,32337,33271,31693,32078,32673,32769,32705,33734,32490,32974
0.0380,32182,32280,32257,33214,31691,32111,32311,32375,32211,33259,32088,32592
0.0390,32072,32134,32082,33055,31577,32019,31903,31932,31662,32707,31560,32059
0.0400,32071,32085,31977,32930,31418,31852,31613,31694,31501,32530,31326,31812
0.0410,31790,31922,31900,32877,31436,31901,31564,31679,31621,32628,31343,31806
0.0420,31736,31851,31872,32858,31469,31952,31587,31715,31735,32747,31421,31880
0.0430,31873,31923,31918,32891,31461,31922,31706,31831,31903,32923,31553,31995
0.0440,31693,31839,31898,32896,31557,32049,31723,31910,32065,33109,31794,32269
0.0450,31954,31980,31997,32973,31553,32008,31898,32052,32225,33286,32012,32496
0.0460,31773,31919,31998,32993,31680,32172,32149,32260,32412,33467,32184,32656
0.0470,31914,31985,32040,33021,31694,32181,32324,32449,32604,33650,32367,32839
0.0480,31951,32033,32086,33071,31746,32227,32666,32823,33091,34117,32771,33238
0.0490,31887,32046,32180,33178,31915,32425,33085,33273,33653,34689,33315,33778
0.0500,32130,32205,32325,33325,32013,32500,33443,33546,33820,34878,33533,33992
0.0510,32164,32254,32342,33340,32069,32562,33483,33577,33722,34795,33543,34032
