time,CH0_hat1,CH0_hat2
0.0010,31571,32467
0.0020,31641,32691
0.0030,31707,32970
0.0040,31785,33180
0.0050,31837,33279
0.0060,31870,33301
0.0070,31896,33239
0.0080,31908,33249
0.0090,31900,33228
0.0100,31900,33194
0.0110,31904,33171
0.0120,31893,33036
0.0130,31861,32823
0.0140,31851,32641
0.0150,31829,32585
0.0160,31816,32610
0.0170,31848,32630
0.0180,31876,32730
0.0190,31880,32800
0.0200,31902,32859
0.0210,31907,32931
0.0220,31943,33052
0.0230,31986,33339
0.0240,32036,33537
0.0250,32072,33626
0.0260,32093,33623
0.0270,32097,33602
0.0280,32088,33561
0.0290,32101,33527
0.0300,32093,33487
0.0310,32083,33452
0.0320,32086,33307
0.0330,32059,33030
0.0340,32014,32886
0.0350,31979,32847
0.0360,31990,32875
0.0370,31991,32922
0.0380,32003,32984
0.0390,32018,33037
0.0400,32029,33098
0.0410,32056,33124
0.0420,32096,33293
0.0430,32128,33559
0.0440,32175,33687
0.0450,32240,33810
0.0460,32230,33819
0.0470,32241,33806
0.0480,32239,33752
0.0490,32224,33717
0.0500,32224,33657
0.0510,32206,33614
0.0520,32206,33485
0.0530,32167,33240
0.0540,32117,33074
0.0550,32097,33011
0.0560,32097,33047
0.0570,32101,33082
0.0580,32112,33142
0.0590,32128,33204
0.0600,32138,33248
0.0610,32164,33309
0.0620,32170,33463
0.0630,32222,33711
0.0640,32278,33892
0.0650,32308,33962
0.0660,32316,33955
0.0670,32322,33940
0.0680,32319,33887
0.0690,32307,33844
0.0700,32298,33795
0.0710,32294,33746
0.0720,32281,33604
0.0730,32245,33367
0.0740,32198,33188
0.0750,32167,33134
0.0760,32161,33164
0.0770,32173,33197
0.0780,32186,33253
0.0790,32198,33311
0.0800,32199,33368
0.0810,32212,33424
0.0820,32220,33574
0.0830,32260,33806
0.0840,32316,33991
0.0850,32350,34056
0.0860,32358,34054
0.0870,32365,34043
0.0880,32365,33979
0.0890,32352,33938
0.0900,32349,33885
0.0910,32340,33839
0.0920,32328,33690
0.0930,32287,33453
0.0940,32231,33286
0.0950,32214,33227
0.0960,32209,33241
0.0970,32211,33289
0.0980,32225,33343
0.0990,32233,33391
0.1000,32244,33443
0.1010,32280,33501
0.1020,32281,33661
0.1030,32316,33894
0.1040,32379,34057
0.1050,32415,34141
0.1060,32407,34125
0.1070,32418,34101
0.1080,32402,34045
0.1090,32404,34003
0.1100,32391,33953
0.1110,32378,33904
0.1120,32375,33748
0.1130,32324,33518
0.1140,32276,33349
0.1150,32245,33283
0.1160,32244,33310
0.1170,32246,33345
0.1180,32259,33403
0.1190,32270,33450
0.1200,32279,33500
0.1210,32289,33554
0.1220,32308,33713
0.1230,32354,33956
0.1240,32411,34127
0.1250,32432,34189
0.1260,32448,34182
0.1270,32449,34151
0.1280,32443,34091
0.1290,32440,34047
0.1300,32425,33996
0.1310,32423,33950
0.1320,32400,33792
0.1330,32348,33558
0.1340,32301,33373
0.1350,32273,33321
0.1360,32280,33354
0.1370,32290,33390
0.1380,32291,33434
0.1390,32291,33431
0.1400,32316,33513
0.1410,32309,33598
0.1420,32327,33757
0.1430,32370,34002
0.1440,32432,34161
0.1450,32452,34228
0.1460,32465,34217
0.1470,32461,34187
0.1480,32454,34134
0.1490,32444,34090
0.1500,32437,34035
0.1510,32428,33984
0.1520,32418,33816
0.1530,32367,33583
0.1540,32314,33418
0.1550,32288,33363
0.1560,32288,33385
0.1570,32286,33423
0.1580,32297,33474
0.1590,32309,33522
0.1600,32316,33570
0.1610,32328,33624
0.1620,32342,33787
0.1630,32387,34032
0.1640,32445,34190
0.1650,32468,34250
0.1660,32478,34239
0.1670,32472,34213
0.1680,32470,34146
0.1690,32457,34111
0.1700,32449,34055
0.1710,32434,34005
0.1720,32427,33839
0.1730,32379,33604
0.1740,32325,33433
0.1750,32299,33385
0.1760,32293,33400
0.1770,32295,33446
0.1780,32309,33494
0.1790,32316,33545
0.1800,32326,33590
0.1810,32340,33647
0.1820,32350,33816
0.1830,32400,34049
0.1840,32462,34207
0.1850,32478,34270
0.1860,32484,34260
0.1870,32483,34224
0.1880,32476,34170
0.1890,32461,34121
0.1900,32458,34073
0.1910,32444,34018
0.1920,32436,33845
0.1930,32383,33613
0.1940,32333,33450
0.1950,32307,33401
0.1960,32304,33422
0.1970,32304,33463
0.1980,32319,33516
0.1990,32323,33560
0.2000,32333,33608
0.2010,32352,33665
0.2020,32375,33829
0.2030,32395,34063
0.2040,32476,34172
0.2050,32497,34279
0.2060,32492,34275
0.2070,32486,34237
0.2080,32498,34178
0.2090,32466,34131
0.2100,32451,34085
0.2110,32451,34035
0.2120,32431,33855
0.2130,32377,33622
0.2140,32334,33467
0.2150,32309,33410
0.2160,32301,33435
0.2170,32313,33481
0.2180,32314,33522
0.2190,32325,33579
0.2200,32342,33626
0.2210,32347,33675
0.2220,32355,33858
0.2230,32414,34094
0.2240,32466,34242
0.2250,32484,34301
0.2260,32496,34287
0.2270,32495,34246
0.2280,32479,34202
0.2290,32474,34151
0.2300,32467,34091
0.2310,32449,34044
0.2320,32444,33860
0.2330,32391,33618
0.2340,32346,33454
0.2350,32320,33424
0.2360,32306,33441
0.2370,32310,33490
0.2380,32324,33536
0.2390,32333,33580
0.2400,32335,33633
0.2410,32356,33689
0.2420,32365,33864
0.2430,32415,34110
0.2440,32474,34259
0.2450,32490,34303
0.2460,32495,34297
0.2470,32498,34258
0.2480,32484,34197
0.2490,32478,34159
0.2500,32472,34102
0.2510,32453,34043
0.2520,32438,33868
0.2530,32387,33630
0.2540,32336,33470
0.2550,32308,33441
0.2560,32312,33452
0.2570,32315,33489
0.2580,32318,33545
0.2590,32351,33585
0.2600,32350,33650
0.2610,32351,33696
0.2620,32372,33879
0.2630,32421,34116
0.2640,32470,34259
0.2650,32490,34308
0.2660,32495,34297
0.2670,32498,34263
0.2680,32482,34208
0.2690,32480,34156
0.2700,32466,34110
0.2710,32453,34050
0.2720,32441,33855
0.2730,32390,33634
0.2740,32337,33473
0.2750,32312,33436
0.2760,32315,33460
0.2770,32318,33494
0.2780,32324,33555
0.2790,32339,33604
0.2800,32346,33642
0.2810,32354,33708
0.2820,32369,33897
0.2830,32425,34124
0.2840,32472,34281
0.2850,32496,34318
0.2860,32502,34303
0.2870,32496,34268
0.2880,32489,34211
0.2890,32483,34163
0.2900,32466,34113
0.2910,32460,34050
0.2920,32448,33861
0.2930,32389,33629
0.2940,32342,33481
0.2950,32316,33441
0.2960,32316,33465
0.2970,32331,33474
0.2980,32342,33557
0.2990,32361,33599
0.3000,32353,33632
0.3010,32354,33702
0.3020,32375,33886
0.3030,32413,34121
0.3040,32462,34268
0.3050,32491,34306
0.3060,32494,34298
0.3070,32493,34256
0.3080,32484,34205
0.3090,32473,34156
0.3100,32468,34105
0.3110,32455,34048
0.3120,32443,33849
0.3130,32387,33620
0.3140,32341,33473
0.3150,32316,33435
0.3160,32314,33458
0.3170,32319,33503
0.3180,32329,33552
0.3190,32337,33539
0.3200,32376,33648
0.3210,32353,33704
0.3220,32370,33900
0.3230,32428,34134
0.3240,32475,34277
0.3250,32499,34311
0.3260,32502,34303
0.3270,32504,34262
0.3280,32490,34211
0.3290,32481,34159
0.3300,32472,34110
0.3310,32461,34043
0.3320,32445,33852
0.3330,32390,33620
0.3340,32339,33480
0.3350,32322,33443
0.3360,32317,33466
0.3370,32318,33510
0.3380,32333,33559
0.3390,32340,33605
0.3400,32351,33654
0.3410,32362,33711
0.3420,32380,33908
0.3430,32433,34144
0.3440,32478,34279
0.3450,32504,34312
0.3460,32502,34304
0.3470,32506,34260
0.3480,32491,34202
0.3490,32480,34162
0.3500,32472,34106
0.3510,32458,34051
0.3520,32444,33850
0.3530,32385,33613
0.3540,32341,33477
0.3550,32320,33443
0.3560,32319,33470
0.3570,32323,33512
0.3580,32332,33558
0.3590,32339,33606
0.3600,32353,33655
0.3610,32359,33713
0.3620,32381,33914
0.3630,32434,34150
0.3640,32480,34285
0.3650,32503,34314
0.3660,32504,34305
0.3670,32508,34259
0.3680,32492,34208
0.3690,32487,34159
0.3700,32472,34111
0.3710,32467,34049
0.3720,32443,33844
0.3730,32390,33611
0.3740,32343,33473
0.3750,32319,33445
0.3760,32327,33469
0.3770,32332,33512
0.3780,32339,33566
0.3790,32349,33604
0.3800,32361,33660
0.3810,32366,33715
0.3820,32388,33924
0.3830,32439,34155
0.3840,32485,34285
0.3850,32511,34317
0.3860,32513,34306
0.3870,32509,34262
0.3880,32497,34212
0.3890,32491,34162
0.3900,32481,34108
0.3910,32469,34050
0.3920,32450,33834
0.3930,32396,33603
0.3940,32348,33476
0.3950,32332,33443
0.3960,32324,33470
0.3970,32326,33515
0.3980,32340,33561
0.3990,32343,33610
0.4000,32359,33658
0.4010,32376,33724
0.4020,32391,33932
0.4030,32434,34164
0.4040,32479,34296
0.4050,32505,34323
0.4060,32502,34313
0.4070,32506,34265
0.4080,32489,34204
0.4090,32482,34163
0.4100,32474,34115
0.4110,32456,34052
0.4120,32442,33836
0.4130,32385,33607
0.4140,32348,33475
0.4150,32322,33453
0.4160,32319,33476
0.4170,32319,33523
0.4180,32332,33571
0.4190,32346,33618
0.4200,32354,33663
0.4210,32364,33721
0.4220,32377,33939
0.4230,32441,34169
0.4240,32479,34297
0.4250,32503,34321
0.4260,32505,34310
0.4270,32501,34264
0.4280,32497,34213
0.4290,32483,34162
0.4300,32471,34108
0.4310,32461,34051
0.4320,32446,33832
0.4330,32389,33599
0.4340,32342,33477
0.4350,32321,33452
0.4360,32316,33476
0.4370,32327,33522
0.4380,32334,33572
0.4390,32343,33612
0.4400,32350,33661
0.4410,32369,33723
0.4420,32382,33948
0.4430,32438,34176
0.4440,32484,34299
0.4450,32499,34321
0.4460,32511,34310
0.4470,32503,34260
0.4480,32493,34204
0.4490,32482,34159
0.4500,32475,34107
0.4510,32461,34049
0.4520,32445,33828
0.4530,32384,33597
0.4540,32337,33475
0.4550,32324,33451
0.4560,32319,33473
0.4570,32324,33518
0.4580,32333,33569
0.4590,32346,33615
0.4600,32347,33669
0.4610,32363,33723
0.4620,32385,33952
0.4630,32434,34179
0.4640,32488,34295
0.4650,32504,34318
0.4660,32508,34308
0.4670,32507,34259
0.4680,32497,34207
0.4690,32481,34160
0.4700,32472,34105
0.4710,32460,34053
0.4720,32438,33822
0.4730,32392,33589
0.4740,32338,33470
0.4750,32320,33446
0.4760,32321,33473
0.4770,32328,33521
0.4780,32333,33569
0.4790,32345,33619
0.4800,32351,33669
0.4810,32365,33726
0.4820,32391,33949
0.4830,32432,34188
0.4840,32488,34295
0.4850,32502,34317
0.4860,32506,34307
0.4870,32498,34257
0.4880,32489,34204
0.4890,32480,34162
0.4900,32468,34105
0.4910,32465,34043
0.4920,32436,33820
0.4930,32385,33579
0.4940,32336,33470
0.4950,32318,33452
0.4960,32316,33473
0.4970,32320,33526
0.4980,32330,33575
0.4990,32340,33620
0.5000,32354,33667
0.5010,32351,33722
0.5020,32387,33960
0.5030,32436,34199
0.5040,32467,34296
0.5050,32493,34324
0.5060,32493,34306
0.5070,32493,34255
0.5080,32478,34207
0.5090,32474,34152
0.5100,32460,34101
0.5110,32452,34041
0.5120,32424,33812
0.5130,32377,33577
0.5140,32329,33466
0.5150,32310,33457
0.5160,32349,33466
0.5170,32321,33524
0.5180,32326,33574
0.5190,32335,33620
0.5200,32351,33654
0.5210,32359,33674
0.5220,32395,33956
0.5230,32459,34178
0.5240,32491,34300
0.5250,32528,34318
0.5260,32514,34308
0.5270,32507,34258
0.5280,32503,34205
0.5290,32460,34155
0.5300,32451,34098
0.5310,32446,34043
0.5320,32425,33800
0.5330,32372,33571
0.5340,32326,33467
0.5350,32306,33452
0.5360,32309,33476
0.5370,32313,33523
0.5380,32326,33571
0.5390,32334,33622
0.5400,32349,33671
0.5410,32356,33733
0.5420,32385,33966
0.5430,32442,34197
0.5440,32480,34304
0.5450,32496,34329
0.5460,32502,34311
0.5470,32501,34254
0.5480,32485,34207
0.5490,32480,34157
0.5500,32476,34104
0.5510,32457,34044
0.5520,32427,33802
0.5530,32376,33572
0.5540,32332,33468
0.5550,32315,33451
0.5560,32316,33470
0.5570,32322,33528
0.5580,32330,33575
0.5590,32346,33623
0.5600,32353,33670
0.5610,32361,33732
0.5620,32387,33980
0.5630,32440,34207
0.5640,32482,34304
0.5650,32504,34317
0.5660,32506,34307
0.5670,32502,34254
0.5680,32484,34200
0.5690,32481,34139
0.5700,32478,34090
0.5710,32474,34036
0.5720,32426,33789
0.5730,32378,33562
0.5740,32332,33461
0.5750,32311,33454
0.5760,32314,33478
0.5770,32319,33524
0.5780,32326,33577
0.5790,32342,33616
0.5800,32353,33672
0.5810,32363,33736
0.5820,32391,33981
0.5830,32443,34203
