time,CH0_raw,CH1_raw,CH2_raw
0.001,31870.075835594645,31629.40231568803,31055.25319828369
0.002,31548.83787470234,31541.69925334918,31377.510962226446
0.003,31598.808224174478,31573.313147913184,31591.669602821315
0.004,31782.372773255793,31728.32321158185,31823.16489527386
0.005,32002.650232153374,31920.046185066778,32043.442354171442
0.006,32215.789069697792,32119.927582955323,32246.383161211343
0.007,32427.908104191752,32330.00701134839,32467.68042315937
0.008,32744.047049831795,32672.660836300172,32905.175931803176
0.009,33247.82975675497,33177.46334627379,33512.97854987242
0.01,33666.96881049064,33534.39441393191,33798.523403998915
0.011,33835.23631381518,33663.90940133928,33793.42438874665
0.012,33852.57296567286,33692.46388675193,33755.69167587994
0.013,33784.24616129259,33630.255900674376,33637.394522027535
0.014,33628.21629457347,33473.206230904805,33421.196275331764
0.015,33444.651745492156,33302.89912147936,33234.57231709909
0.016,33275.36443911716,33139.73063340708,33065.2850107241
0.017,33094.8592991872,32964.324508729376,32882.74026469324
0.018,32799.11641455619,32641.046941736167,32470.739832310726
0.019,32321.84858694477,32159.69990192294,31885.37288135142
0.02,31931.26401862175,31835.402531879285,31635.52113399074
0.021,31807.867849517086,31752.798484792693,31685.491483462876
0.022,31829.283713576573,31764.01631834766,31777.273758003535
0.023,31926.16500336949,31850.69957763606,31904.749139310003
0.024,32099.531521946286,32021.006687061505,32129.10581040939
0.025,32302.472328986187,32209.67025139508,32338.165435752002
0.026,32500.31412077383,32398.333815728656,32529.888409236926
0.027,32696.116306460564,32594.13600141539,32743.02724678135
0.028,33009.19584294925,32930.67100806447,33158.08708831521
0.029,33494.62209496429,33425.275487533574,33756.71147893039
0.03,33895.40469379183,33764.869903334,34032.05830255237
0.031,34069.79101541908,33897.44429989273,34033.07810560281
0.032,34078.96924287314,33914.780951750414,33975.969134777515
0.033,34008.602832391975,33846.45414737015,33850.53335957195
0.034,33846.45414737015,33689.404477600576,33637.394522027535
0.035,33652.69156778431,33508.89933767061,33440.572533290346
0.036,33475.24583700571,33338.59222824517,33265.16640861265
0.037,33288.62187877303,33155.02767916385,33075.48304122862
0.038,32981.66116058706,32824.611490817486,32658.383593593848
0.039,32500.31412077383,32336.125829651093,32062.818612130024
0.04,32101.571128047195,32003.670035203824,31798.689622063022
0.041,31968.996731488463,31911.887760663165,31851.71938068651
0.042,31994.491807749757,31925.14520031904,31941.462049126265
0.043,32088.313688391318,32010.808656556987,32071.99683958409
0.044,32260.660403917667,32180.095962931977,32290.234692380764
0.045,32442.185346898077,32349.38326930697,32480.937862815248
0.046,32643.086547837076,32541.106242791895,32669.601427148817
0.047,32832.7699152211,32729.76980712547,32876.62144639053
0.048,33138.71083035663,33060.185995471846,33295.7605001262
0.049,33634.33511287618,33558.86968714275,33894.38489074138
0.05,34038.17712085508,33899.483905993635,34155.45447165702
0.051,34188.08816927148,34011.66224154333,34147.29604725341
0.052,34198.286199776,34032.05830255237,34096.305894730824
0.053,34116.70195573986,33958.63248291984,33965.771104273
0.054,33957.61267986939,33797.50360094846,33751.61246367813
0.055,33764.869903334,33616.9984610185,33543.572641385974
0.056,33575.18653594998,33440.572533290346,33370.20612280918
0.057,33384.4833655155,33253.94857505768,33174.403937122435
0.058,33084.661268682685,32925.57199281221,32748.126262033606
