time,CH0_raw,CH1_raw,CH2_raw,CH3_raw,CH4_raw,CH5_raw
0.001,30941.610062779826,30589.037488235805,30392.371283360095,31125.02932121313,31110.76337889054,31561.15955793232
0.002,30930.40110809779,30874.356334687614,30741.88687026356,31553.00759089084,30860.090392365022,31444.994027591227
0.003,31211.643971028858,31134.200284134793,31020.072745554073,31873.991293149124,30778.570721950222,31250.36581447589
0.004,31157.63718937905,31211.643971028858,31187.188069904416,32100.2083785502,30876.394326447982,31325.771509609578
0.005,31347.170423093467,31354.30339425476,31324.752513729396,32254.07675645814,30898.812235812053,31312.524563167175
0.006,31331.88548489069,31402.196200623457,31403.215196503643,32353.93835271627,30963.00897626371,31388.94925418105
0.007,31451.108002872337,31511.228759803253,31527.532693886213,32481.312837739395,31036.376679637033,31460.278965794
0.008,31546.89361560973,31620.26131898305,31648.793203628233,32614.80129804364,31130.124300614054,31542.81763208899
0.009,31559.12156617195,31640.64123658675,31679.36308003378,32659.63711677178,31194.321041065712,31619.242323102866
0.01,31499.000809241035,31593.767426098242,31643.698224227308,32644.352178569003,31220.81493395052,31665.097137711193
0.011,31392.006241821608,31505.114784522142,31559.12156617195,32570.984475195677,31232.023888632557,31708.913960559148
0.012,31387.930258300865,31467.411936955297,31503.076792761774,32511.88271414495,31203.492003987376,31693.629022356374
0.013,31655.92617478953,31621.280314863237,31570.330520853986,32534.30062350902,31084.269486005727,31509.190768042885
0.014,31449.070011111966,31537.722652688066,31544.85562384936,32527.16765234772,31093.440448927395,31524.47570624566
0.015,31517.342735084363,31544.85562384936,31513.266751563624,32486.407817140323,31001.73081971074,31424.614109987528
0.016,31265.650752678663,31389.968250061236,31411.36716354512,32407.945134366077,31017.015757913516,31475.56390399678
0.017,31288.068662042733,31334.942472531246,31313.54355904736,32306.045546347574,30892.698260530942,31348.18941897365
0.018,31134.200284134793,31222.852925710893,31222.852925710893,32217.392904771477,30847.8624418028,31312.524563167175
0.019,31317.6195425681,31323.73351784921,31292.144645563472,32266.30470702036,30779.589717830408,31205.529995747747
0.02,31094.459444807577,31236.099872153296,31277.878703240884,32278.532657582575,30880.470309968725,31339.018456051985
0.021,31042.490654918143,31174.960119342195,31242.213847434406,32266.30470702036,30950.78102570149,31441.937039950673
0.022,31216.738950429783,31279.91669500125,31326.790505489764,32336.615422753122,30982.369897987224,31458.240974033633
0.023,31159.67518113942,31278.89769912107,31346.15142721328,32367.18529915868,31082.23149424536,31575.42550025491
0.024,31092.42145304721,31244.251839194778,31350.22741073402,32377.375257960528,31202.47300810719,31738.464841084515
0.025,31393.02523770179,31409.32917178475,31430.728085268638,32430.363043730147,31180.05509874312,31679.36308003378
0.026,31487.791854559,31524.47570624566,31525.494702125845,32498.635767702544,31176.998111102566,31642.679228347122
0.027,31470.468924595854,31572.368512614354,31619.242323102866,32603.592343361604,31286.030670282362,31758.844758688214
0.028,31638.603244826383,31702.799985278038,31748.654799886364,32733.0048201451,31361.436365416055,31814.88953209839
0.029,31648.793203628233,31725.217894642108,31759.8637545684,32749.308754228063,31390.987245941422,31846.47840438413
0.03,31894.371210752823,31875.01028902931,31849.53539202468,32810.44850703916,31324.752513729396,31727.25588640248
0.031,31898.44719427356,31924.941087158375,31888.257235471712,32845.09436696545,31298.258620844583,31682.42006767434
0.032,31759.8637545684,31841.383424983203,31841.383424983203,32821.657461721195,31273.802719720145,31676.306092393228
0.033,31728.274882282665,31799.604593895616,31803.680577416355,32784.97361003453,31246.289830955146,31658.983162430082
0.034,31524.47570624566,31651.850191268786,31697.705005877113,32704.47293549992,31261.574769157924,31709.932956439334
0.035,31709.932956439334,31714.008939960073,31681.401071794153,32655.561133251038,31131.14329649424,31548.9316073701
0.036,31852.59237966524,31811.832544457837,31733.36986168359,32677.97904261511,31032.300696116294,31371.626324217905
0.037,31431.74708114882,31570.330520853986,31571.34951673417,32554.68054111272,31008.863790872037,31417.48113882623
0.038,31354.30339425476,31447.032019351598,31462.316957554372,32463.989907776253,30949.762029821304,31383.854274780126
0.039,31531.608677406955,31538.741648568248,31510.20976392307,32488.445808900695,30877.413322328168,31272.78372383996
0.04,31318.638538448286,31452.126998752523,31495.94382160048,32490.483800661066,30967.08495978445,31397.101221222532
0.041,31359.398373655684,31455.183986393076,31510.20976392307,32512.901710025137,31007.84479499185,31449.070011111966
0.042,31209.605979268486,31375.702307738644,31479.63988751752,32512.901710025137,31137.25727177535,31624.33730250379
0.043,31315.58155080773,31410.348167664935,31486.772858678814,32510.863718264765,31174.960119342195,31668.154125351746
