time,CH0_raw
0.001,32780.8976265138
0.002,32778.859634753426
0.003,32781.91662239398
0.004,32778.859634753426
0.005,32782.93561827417
0.006,32781.91662239398
0.007,32777.84063887324
0.008,32781.91662239398
0.009,32780.8976265138
0.01,32780.8976265138
0.011,32780.8976265138
0.012,32781.91662239398
0.013,32781.91662239398
0.014,32779.87863063361
0.015,32780.8976265138
0.016,32779.87863063361
0.017,32780.8976265138
0.018,32781.91662239398
0.019,32779.87863063361
0.02,32779.87863063361
0.021,32777.84063887324
0.022,32779.87863063361
0.023,32781.91662239398
0.024,32781.91662239398
0.025,32779.87863063361
0.026,32781.91662239398
0.027,32781.91662239398
0.028,32779.87863063361
0.029,32780.8976265138
0.03,32780.8976265138
0.031,32779.87863063361
0.032,32779.87863063361
0.033,32779.87863063361
0.034,32778.859634753426
0.035,32779.87863063361
0.036,32781.91662239398
0.037,32781.91662239398
0.038,32775.80264711287
0.039,32782.93561827417
0.04,32781.91662239398
0.041,32779.87863063361
0.042,32779.87863063361
0.043,32781.91662239398
0.044,32779.87863063361
0.045,32778.859634753426
0.046,32781.91662239398
0.047,32781.91662239398
0.048,32780.8976265138
0.049,32780.8976265138
0.05,32779.87863063361
0.051,32781.91662239398
0.052,32780.8976265138
0.053,32781.91662239398
0.054,32780.8976265138
0.055,32779.87863063361
0.056,32778.859634753426
0.057,32779.87863063361
0.058,32779.87863063361
0.059,32781.91662239398
0.06,32781.91662239398
0.061,32775.80264711287
0.062,32777.84063887324
0.063,32779.87863063361
0.064,32779.87863063361
0.065,32779.87863063361
0.066,32780.8976265138
0.067,32777.84063887324
0.068,32777.84063887324
0.069,32779.87863063361
0.07,32781.91662239398
0.071,32779.87863063361
0.072,32780.8976265138
0.073,32780.8976265138
0.074,32778.859634753426
0.075,32780.8976265138
0.076,32777.84063887324
0.077,32781.91662239398
0.078,32777.84063887324
0.079,32779.87863063361
0.08,32779.87863063361
0.081,32779.87863063361
0.082,32779.87863063361
0.083,32779.87863063361
0.084,32780.8976265138
0.085,32781.91662239398
0.086,32780.8976265138
0.087,32779.87863063361
0.088,32781.91662239398
0.089,32779.87863063361
0.09,32776.821642993054
0.091,32780.8976265138
0.092,32780.8976265138
0.093,32778.859634753426
0.094,32780.8976265138
0.095,32780.8976265138
0.096,32781.91662239398
0.097,32780.8976265138
