time,CH0_raw,CH1_raw,CH2_raw
0.001,32788.03059767509,32769.68867183176,32782.93561827417
0.002,32789.049593555275,32769.68867183176,32781.91662239398
0.003,32790.06858943546,32767.65068007139,32782.93561827417
0.004,32790.06858943546,32767.65068007139,32782.93561827417
0.005,32789.049593555275,32767.65068007139,32780.8976265138
0.006,32790.06858943546,32766.631684191205,32781.91662239398
0.007,32789.049593555275,32767.65068007139,32781.91662239398
0.008,32788.03059767509,32768.669675951576,32779.87863063361
0.009,32788.03059767509,32766.631684191205,32780.8976265138
0.01,32789.049593555275,32766.631684191205,32782.93561827417
0.011,32789.049593555275,32767.65068007139,32781.91662239398
0.012,32791.08758531565,32767.65068007139,32783.95461415435
0.013,32789.049593555275,32768.669675951576,32784.97361003453
0.014,32789.049593555275,32768.669675951576,32782.93561827417
0.015,32789.049593555275,32767.65068007139,32782.93561827417
0.016,32789.049593555275,32767.65068007139,32783.95461415435
0.017,32789.049593555275,32769.68867183176,32783.95461415435
0.018,32787.011601794904,32769.68867183176,32785.99260591472
0.019,32788.03059767509,32768.669675951576,32782.93561827417
0.02,32789.049593555275,32767.65068007139,32781.91662239398
0.021,32789.049593555275,32769.68867183176,32782.93561827417
0.022,32788.03059767509,32766.631684191205,32783.95461415435
0.023,32789.049593555275,32767.65068007139,32781.91662239398
0.024,32790.06858943546,32767.65068007139,32780.8976265138
0.025,32789.049593555275,32767.65068007139,32780.8976265138
0.026,32788.03059767509,32767.65068007139,32782.93561827417
0.027,32788.03059767509,32770.70766771195,32782.93561827417
0.028,32789.049593555275,32768.669675951576,32783.95461415435
0.029,32790.06858943546,32765.61268831102,32778.859634753426
0.03,32789.049593555275,32766.631684191205,32782.93561827417
0.031,32790.06858943546,32767.65068007139,32779.87863063361
0.032,32788.03059767509,32766.631684191205,32782.93561827417
0.033,32789.049593555275,32767.65068007139,32782.93561827417
0.034,32789.049593555275,32768.669675951576,32781.91662239398
0.035,32790.06858943546,32767.65068007139,32781.91662239398
0.036,32789.049593555275,32767.65068007139,32781.91662239398
